asparse,seed,ok,error,error_class,direction_accuracy_active,active_weight_concentration,null_selected_fraction,n_nonzero,lambda_at_path_edge
0.05,71,TRUE,NA,NA,1,0.36766762239822176,0.6666666666666666,10,FALSE
0.05,42,TRUE,NA,NA,1,0.21934771722629332,0.6666666666666666,10,FALSE
0.05,123,TRUE,NA,NA,0.5,0.11421793778232192,1,11,FALSE
0.05,256,TRUE,NA,NA,0.75,0.1616210153145221,1,12,FALSE
0.05,314,TRUE,NA,NA,1,0.2527072083711361,1,13,FALSE
0.05,500,TRUE,NA,NA,0.5,0.4980756283356209,0.3333333333333333,5,FALSE
0.05,617,TRUE,NA,NA,1,0.40417179892076366,0.6666666666666666,10,FALSE
0.05,789,TRUE,NA,NA,1,0.41949832708560647,0.6666666666666666,10,FALSE
0.05,888,TRUE,NA,NA,0,NA,0,0,TRUE
0.05,999,TRUE,NA,NA,0,NA,0,0,TRUE
0.05,1001,TRUE,NA,NA,1,0.42572010392991644,0.6666666666666666,10,FALSE
0.05,1123,TRUE,NA,NA,0.5,0.5133701241182396,0.3333333333333333,5,FALSE
0.05,1234,TRUE,NA,NA,1,0.4505888702482398,0.6666666666666666,10,FALSE
0.05,1357,TRUE,NA,NA,1,0.515100646217743,0.6666666666666666,10,FALSE
0.05,1500,TRUE,NA,NA,1,0.16310484482152063,1,13,FALSE
0.05,1618,TRUE,NA,NA,0.5,0.39781591064618943,0.3333333333333333,5,FALSE
0.05,1729,TRUE,NA,NA,1,0.20342374627294024,0.6666666666666666,10,FALSE
0.05,1847,TRUE,NA,NA,1,0.27477910429026664,1,13,FALSE
0.05,1963,TRUE,NA,NA,0.5,0.3989997014550281,0.3333333333333333,5,FALSE
0.05,2048,TRUE,NA,NA,0.5,0.44327840455495515,0.3333333333333333,5,FALSE
0.05,2222,TRUE,NA,NA,0,NA,0,0,TRUE
0.05,2345,TRUE,NA,NA,0.75,0.3453601939496085,0.8888888888888888,12,FALSE
0.05,2500,TRUE,NA,NA,1,0.214393781370837,0.6666666666666666,10,FALSE
0.05,2718,TRUE,NA,NA,1,0.5288686169032721,0.6666666666666666,10,FALSE
0.05,2801,TRUE,NA,NA,1,0.15690842499186589,1,13,FALSE
0.05,3001,TRUE,NA,NA,0.5,0.5644634531355012,0.2222222222222222,4,FALSE
0.05,3141,TRUE,NA,NA,1,0.27349354031322964,0.6666666666666666,10,FALSE
0.05,3333,TRUE,NA,NA,1,0.48257967587057365,0.6666666666666666,10,FALSE
0.05,3500,TRUE,NA,NA,1,0.18477251181930562,0.8888888888888888,12,FALSE
0.05,3777,TRUE,NA,NA,1,0.4014519732865519,0.6666666666666666,10,FALSE
0.5,71,TRUE,NA,NA,1,0.33399862976535416,0.5555555555555556,9,FALSE
0.5,42,TRUE,NA,NA,0.75,0.401168473797489,0.3333333333333333,6,FALSE
0.5,123,TRUE,NA,NA,0.25,0.10051381473881302,0.8888888888888888,9,FALSE
0.5,256,TRUE,NA,NA,0.5,0.35194947557026474,0.6666666666666666,8,FALSE
0.5,314,TRUE,NA,NA,0.5,0.4239599921183853,0.3333333333333333,5,FALSE
0.5,500,TRUE,NA,NA,0,NA,0,0,TRUE
0.5,617,TRUE,NA,NA,0.75,0.4043554992850009,0.5555555555555556,8,FALSE
0.5,789,TRUE,NA,NA,1,0.44252806603590633,0.6666666666666666,10,FALSE
0.5,888,TRUE,NA,NA,0,NA,0,0,TRUE
0.5,999,TRUE,NA,NA,0,NA,0,0,TRUE
0.5,1001,TRUE,NA,NA,0,NA,0,0,TRUE
0.5,1123,TRUE,NA,NA,0.25,0.5,0.1111111111111111,2,FALSE
0.5,1234,TRUE,NA,NA,1,0.5264390805334629,0.5555555555555556,9,FALSE
0.5,1357,TRUE,NA,NA,1,0.6434951854471238,0.6666666666666666,10,FALSE
0.5,1500,TRUE,NA,NA,0.25,0.15309467057907222,0.6666666666666666,7,FALSE
0.5,1618,TRUE,NA,NA,0.25,0.47580106399769645,0.2222222222222222,3,FALSE
0.5,1729,TRUE,NA,NA,0.25,0.22743449778004635,0.5555555555555556,6,FALSE
0.5,1847,TRUE,NA,NA,1,0.31935118773630616,0.7777777777777778,11,FALSE
0.5,1963,TRUE,NA,NA,0,NA,0,0,FALSE
0.5,2048,TRUE,NA,NA,0.25,0.3755931851845986,0.2222222222222222,3,FALSE
0.5,2222,TRUE,NA,NA,0.75,0.36838217960939695,0.6666666666666666,9,FALSE
0.5,2345,TRUE,NA,NA,0.75,0.34986978904302857,0.5555555555555556,8,FALSE
0.5,2500,TRUE,NA,NA,0.5,0.37919714323794346,0.3333333333333333,5,FALSE
0.5,2718,TRUE,NA,NA,1,0.6358927967088839,0.4444444444444444,8,FALSE
0.5,2801,TRUE,NA,NA,1,0.1893986521410992,0.8888888888888888,12,FALSE
0.5,3001,TRUE,NA,NA,0.5,0.6193911003450712,0.2222222222222222,4,FALSE
0.5,3141,TRUE,NA,NA,0.75,0.36162789011127866,0.4444444444444444,7,FALSE
0.5,3333,TRUE,NA,NA,0.75,0.6029390016732435,0.4444444444444444,7,FALSE
0.5,3500,TRUE,NA,NA,0.5,0.18131795480825533,0.6666666666666666,8,FALSE
0.5,3777,TRUE,NA,NA,0.25,0.4524404784234935,0.2222222222222222,3,FALSE
0.95,71,TRUE,NA,NA,0.25,0.12427164343149293,0.2222222222222222,3,FALSE
0.95,42,TRUE,NA,NA,0.75,0.1340278205175765,0.7777777777777778,10,FALSE
0.95,123,TRUE,NA,NA,0.25,0.10298534677815874,0.8888888888888888,9,FALSE
0.95,256,TRUE,NA,NA,0.25,0.3160977174203942,0.3333333333333333,4,FALSE
0.95,314,TRUE,NA,NA,0,NA,0,0,FALSE
0.95,500,TRUE,NA,NA,0,NA,0,0,TRUE
0.95,617,TRUE,NA,NA,0.5,0.44248467390601576,0.3333333333333333,5,FALSE
0.95,789,TRUE,NA,NA,0,NA,0,0,TRUE
0.95,888,TRUE,NA,NA,0,NA,0,0,FALSE
0.95,999,TRUE,NA,NA,0,NA,0,0,TRUE
0.95,1001,TRUE,NA,NA,0,NA,0,0,TRUE
0.95,1123,TRUE,NA,NA,0.25,0.5,0.1111111111111111,2,FALSE
0.95,1234,TRUE,NA,NA,0.5,0.5640193798421846,0.3333333333333333,5,FALSE
0.95,1357,TRUE,NA,NA,1,0.5866294788728209,0.5555555555555556,9,FALSE
0.95,1500,TRUE,NA,NA,0.25,0.2801633376903901,0.4444444444444444,5,FALSE
0.95,1618,TRUE,NA,NA,0.25,1,0,1,FALSE
0.95,1729,TRUE,NA,NA,0.25,0.5,0.2222222222222222,3,FALSE
0.95,1847,TRUE,NA,NA,0.75,0.25320613863765373,0.6666666666666666,9,FALSE
0.95,1963,TRUE,NA,NA,0,NA,0,0,FALSE
0.95,2048,TRUE,NA,NA,0.25,0.21390981798251418,0.1111111111111111,2,FALSE
0.95,2222,TRUE,NA,NA,0.75,0.6263065059099924,0.2222222222222222,5,FALSE
0.95,2345,TRUE,NA,NA,0.75,0.4484912697248462,0.4444444444444444,7,FALSE
0.95,2500,TRUE,NA,NA,0.25,0.46724791585669595,0.3333333333333333,4,FALSE
0.95,2718,TRUE,NA,NA,1,0.7815645860310638,0.2222222222222222,6,FALSE
0.95,2801,TRUE,NA,NA,0.75,0.12951345245294676,0.5555555555555556,8,FALSE
0.95,3001,TRUE,NA,NA,0.5,0.8877493546282358,0.1111111111111111,3,FALSE
0.95,3141,TRUE,NA,NA,0.75,0.5094734917202861,0.2222222222222222,5,FALSE
0.95,3333,TRUE,NA,NA,0.5,0.7149926829152532,0.1111111111111111,3,FALSE
0.95,3500,TRUE,NA,NA,0.25,0.20644107591484426,0.5555555555555556,6,FALSE
0.95,3777,TRUE,NA,NA,0.25,0.46176435056504483,0.2222222222222222,3,FALSE
