n,seed,method,succeeded,error,source,attempted,error_class,backend_jerr,bootstrap_success_rate,all_zero_weights,validation_estimable,rank_deficient,selected_lambda,lambda_index,lambda_at_path_edge,n_nonzero
100,71,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,71,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,71,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,71,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.011447637823260866,1,TRUE,13
100,42,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,42,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,42,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,42,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.0013503348694580036,8,FALSE,13
100,123,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,123,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,123,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,123,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.01472815032063589,1,TRUE,13
100,256,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,256,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,256,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,256,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.016432998877322906,1,TRUE,13
100,314,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,314,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,314,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,314,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.018074825852523943,1,TRUE,13
100,500,qgcomp,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,500,gWQS,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",additional_n100_n200,TRUE,other_error,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,500,groupWQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,500,SGL-WQS,TRUE,NA,additional_n100_n200,TRUE,NA,NA,1,FALSE,TRUE,FALSE,0.010860308761660175,1,TRUE,13
