method,seed,true_target,estimate,std_error,ci_lower,ci_upper,covered,ok,error,estimand_note,error_class
qgcomp,71,0.28,0.49577522315127,0.16244773858169173,0.17738350616117649,0.8141669401413635,TRUE,TRUE,NA,Direct all-exposure one-quantile contrast,NA
gWQS,1071,0.28,NA,NA,NA,NA,NA,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",Two-index WQS implied all-exposure contrast,other_error
groupWQS,2071,0.28,0.3224247663090376,0.23608493337398084,-0.1402932003965029,0.7851427330145782,TRUE,TRUE,NA,Group-index implied all-exposure contrast,NA
SGL-WQS,3071,0.28,0.08264796795690293,0.027650205758232963,0.02845456050564433,0.13684137540816155,FALSE,TRUE,NA,Sparse group index-implied all-exposure contrast,NA
qgcomp,42,0.28,0.1219044320742662,0.16363689197580455,-0.19881798274038198,0.4426268468889144,TRUE,TRUE,NA,Direct all-exposure one-quantile contrast,NA
gWQS,1042,0.28,NA,NA,NA,NA,NA,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",Two-index WQS implied all-exposure contrast,other_error
groupWQS,2042,0.28,-0.044661808694623134,0.21786107049329576,-0.4716616604948245,0.3823380431055783,TRUE,TRUE,NA,Group-index implied all-exposure contrast,NA
SGL-WQS,3042,0.28,0,0,0,0,FALSE,TRUE,NA,Sparse group index-implied all-exposure contrast,NA
qgcomp,123,0.28,0.1742441125796353,0.16298240033832678,-0.1451955221973738,0.4936837473566444,TRUE,TRUE,NA,Direct all-exposure one-quantile contrast,NA
gWQS,1123,0.28,NA,NA,NA,NA,NA,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",Two-index WQS implied all-exposure contrast,other_error
groupWQS,2123,0.28,0.15140604799416743,0.2364524263258026,-0.3120321916615161,0.6148442876498509,TRUE,TRUE,NA,Group-index implied all-exposure contrast,NA
SGL-WQS,3123,0.28,0.060939455421385486,0.04217015048794073,-0.021712520757612513,0.14359143160038348,FALSE,TRUE,NA,Sparse group index-implied all-exposure contrast,NA
qgcomp,256,0.28,0.11717032094817362,0.1598653393620569,-0.1961599865777313,0.43050062847407855,TRUE,TRUE,NA,Direct all-exposure one-quantile contrast,NA
gWQS,1256,0.28,NA,NA,NA,NA,NA,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",Two-index WQS implied all-exposure contrast,other_error
groupWQS,2256,0.28,0.10301416669313929,0.2417548733593755,-0.37081667817827835,0.5768450115645569,TRUE,TRUE,NA,Group-index implied all-exposure contrast,NA
SGL-WQS,3256,0.28,0.10960157905722347,0.05219336773271974,0.007304458069237824,0.2118987000452091,FALSE,TRUE,NA,Sparse group index-implied all-exposure contrast,NA
qgcomp,314,0.28,0.005863764811035059,0.16492246647490036,-0.317378329721284,0.3291058593433541,TRUE,TRUE,NA,Direct all-exposure one-quantile contrast,NA
gWQS,1314,0.28,NA,NA,NA,NA,NA,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",Two-index WQS implied all-exposure contrast,other_error
groupWQS,2314,0.28,-0.034643114902267236,0.2592678876332203,-0.5427988370111565,0.473512607206622,TRUE,TRUE,NA,Group-index implied all-exposure contrast,NA
SGL-WQS,3314,0.28,0.02192083016513306,0.06227019145001729,-0.10012650238731478,0.1439681627175809,FALSE,TRUE,NA,Sparse group index-implied all-exposure contrast,NA
qgcomp,500,0.28,0.11211189998424066,0.16418461725255962,-0.20968403664626967,0.43390783661475096,TRUE,TRUE,NA,Direct all-exposure one-quantile contrast,NA
gWQS,1500,0.28,NA,NA,NA,NA,NA,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",Two-index WQS implied all-exposure contrast,other_error
groupWQS,2500,0.28,0.24247780809266783,0.25067432672208456,-0.2488348441314442,0.7337904603167799,TRUE,TRUE,NA,Group-index implied all-exposure contrast,NA
SGL-WQS,3500,0.28,0.03736195429533732,0.0598241220246284,-0.07989117027966372,0.15461507887033835,FALSE,TRUE,NA,Sparse group index-implied all-exposure contrast,NA
qgcomp,617,0.28,0.34350859662517347,0.16143407779480048,0.027103618269927354,0.6599135749804196,TRUE,TRUE,NA,Direct all-exposure one-quantile contrast,NA
gWQS,1617,0.28,NA,NA,NA,NA,NA,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",Two-index WQS implied all-exposure contrast,other_error
groupWQS,2617,0.28,0.29424685396563277,0.2597091182270454,-0.21477366421603095,0.8032673721472965,TRUE,TRUE,NA,Group-index implied all-exposure contrast,NA
SGL-WQS,3617,0.28,0.02864607573918808,0.021621051865590366,-0.013730407225241568,0.07102255870361773,FALSE,TRUE,NA,Sparse group index-implied all-exposure contrast,NA
qgcomp,789,0.28,0.12049728986071262,0.16840321123946644,-0.20956693904953233,0.45056151877095757,TRUE,TRUE,NA,Direct all-exposure one-quantile contrast,NA
gWQS,1789,0.28,NA,NA,NA,NA,NA,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",Two-index WQS implied all-exposure contrast,other_error
groupWQS,2789,0.28,0.049540552662304754,0.2508818938943577,-0.4421789237438355,0.5412600290684451,TRUE,TRUE,NA,Group-index implied all-exposure contrast,NA
SGL-WQS,3789,0.28,0.009532055463466029,0.02408854958158006,-0.03768063415623826,0.05674474508317032,FALSE,TRUE,NA,Sparse group index-implied all-exposure contrast,NA
qgcomp,888,0.28,0.396476042176831,0.1667498067343092,0.06965242654857057,0.7232996578050914,TRUE,TRUE,NA,Direct all-exposure one-quantile contrast,NA
gWQS,1888,0.28,NA,NA,NA,NA,NA,FALSE,"関数 ""selectdatavars"" を見つけることができませんでした",Two-index WQS implied all-exposure contrast,other_error
