true_ratio,threshold,seed,ok,error,error_class,fitted_ratio,fitted_minor_direction,excluded_minor,pos_estimate,pos_pvalue,neg_estimate,neg_pvalue,contrast_estimate,true_contrast
0.05,0,71,TRUE,NA,NA,7.858594318952399e-4,negative,FALSE,0.3313335639056914,2.0195997393065625e-5,0.028809221595313857,0.6342692564370538,0.12931890112390484,0.475
0.05,0,42,TRUE,NA,NA,1.6291479268488405e-4,negative,FALSE,0.3005898446320738,3.825699961977435e-4,0.11987808376414104,0.05584705569857206,0.11812955358871828,0.475
0.05,0,123,TRUE,NA,NA,6.984848282413183e-5,negative,FALSE,0.4387895640915259,3.4050600819455037e-9,-0.026843488062585828,0.6632218262408008,0.16697805532243432,0.475
0.05,0,256,TRUE,NA,NA,4.934965788223262e-6,negative,FALSE,0.34006091018275175,1.1134124147211141e-5,0.08317861480957027,0.17334166101410542,0.1521587178019187,0.475
0.05,0,314,TRUE,NA,NA,1.3655021441155626e-4,negative,FALSE,0.5267915127651992,7.297715509441537e-11,-0.10185219245836283,0.08145452339483301,0.17997112970182008,0.475
0.05,0,500,TRUE,NA,NA,0,negative,FALSE,0.42102647753559036,1.8650859464071313e-9,NA,NA,0.19830590803894904,0.475
0.05,0,617,TRUE,NA,NA,0,negative,FALSE,0.42110890416076807,3.9578898669770436e-10,NA,NA,0.19465786728254145,0.475
0.05,0,789,TRUE,NA,NA,9.17844645485411e-6,negative,FALSE,0.45865300428035527,3.851231520927618e-8,0.06521694465035324,0.2988301558959461,0.2174323969003528,0.475
0.05,0,888,TRUE,NA,NA,0,negative,FALSE,0.45085872458563725,2.8106549123856588e-12,NA,NA,0.20249634667943475,0.475
0.05,0,999,TRUE,NA,NA,7.95163779698361e-7,negative,FALSE,0.3962522132128545,6.397733840493322e-8,0.003469469602840475,0.9507267165223738,0.15635087647936258,0.475
0.05,0,1001,TRUE,NA,NA,4.233008583189185e-5,negative,FALSE,0.30652310822024165,1.8231051511768164e-4,0.04705674326867217,0.4329656908285364,0.10871974160674813,0.475
0.05,0,1123,TRUE,NA,NA,5.07374290532328e-6,negative,FALSE,0.4366325061167818,1.4628626410627833e-8,0.06773589145775502,0.2206484729892234,0.16129897141559502,0.475
0.05,0,1234,TRUE,NA,NA,0,negative,FALSE,0.2923874716020856,1.8309447543052515e-6,NA,NA,0.11884412180227999,0.475
0.05,0,1357,TRUE,NA,NA,1.1606803606648865e-5,negative,FALSE,0.4377911287935,9.662867173663271e-8,-0.04514439761666342,0.445529932948715,0.17883631250029774,0.475
0.05,0,1500,TRUE,NA,NA,0,negative,FALSE,0.39938220185582696,1.3634203257611358e-8,NA,NA,0.12081885883745454,0.475
