"Scenario","p","n","n_groups","truth_profile","within_rho","cross_rho","Method","N","Mean","SD","T_P_gt_0_5","Wilcoxon_P_gt_0_5","T_P_BH","Wilcoxon_P_BH"
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"SGL-WQS",10,0.688888888888889,0.187394231713682,0.00552542307633479,0.0158208886929896,0.0128926538447812,0.0379701328631751
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"gWQS",10,0.733333333333333,0.158871189552053,0.000605824467040497,0.00440043447685654,0.00353397605773623,0.0150967181387249
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"groupWQS",10,0.677777777777778,0.133024333304207,0.0011095737254936,0.00503223937957498,0.00388350803922761,0.0150967181387249
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"qgcomp",10,0.811111111111111,0.148610389983251,4.85023701069309e-05,0.00284884311819998,0.000785024562586794,0.0150967181387249
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"SGL-WQS",5,0.733333333333333,0.168508343201146,0.018176,0.0289536327086487,0.0265066666666667,0.041693231100454
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"gWQS",5,0.777777777777778,0.157134840263677,0.00838895074463696,0.0272370175530978,0.0155193787635296,0.041693231100454
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"groupWQS",5,0.688888888888889,0.121716123890037,0.012790522575018,0.0266684264145699,0.0202254047937406,0.041693231100454
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"qgcomp",5,0.822222222222222,0.185924450340906,0.00895640185083981,0.0283797231930068,0.0156737032389697,0.041693231100454
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"SGL-WQS",5,0.533333333333333,0.213726489574126,0.372432600601222,0.392747373559177,0.383386500618905,0.403968727089439
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"gWQS",5,0.622222222222222,0.168508343201146,0.0900759137789077,0.138151458668742,0.11626347061006,0.16578175040249
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"groupWQS",5,0.622222222222222,0.243432247780074,0.162200968236662,0.161099403081291,0.183130125428489,0.187083177771822
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"qgcomp",5,0.733333333333333,0.126686158344349,0.00731552572101081,0.0289536327086487,0.015061376484434,0.041693231100454
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"SGL-WQS",10,0.677777777777778,0.192093370072444,0.00842480561448747,0.0197595736627382,0.0155193787635296,0.0395191473254763
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"gWQS",10,0.677777777777778,0.152257813267366,0.00248977243900085,0.00258685784312756,0.00670323348961769,0.0150967181387249
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"groupWQS",10,0.677777777777778,0.133024333304207,0.0011095737254936,0.00503223937957498,0.00388350803922761,0.0150967181387249
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"qgcomp",10,0.766666666666667,0.133024333304207,6.72878196502966e-05,0.00272381722185325,0.000785024562586794,0.0150967181387249
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"SGL-WQS",10,0.7,0.174113470719158,0.00273243854807822,0.0153767806296373,0.00683109637019554,0.0379701328631751
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"gWQS",10,0.7,0.166048235344147,0.00208017755281703,0.00258685784312756,0.00606718452904968,0.0150967181387249
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"groupWQS",10,0.7,0.128833534303156,0.000418544834498237,0.00398044017111745,0.00292981384148766,0.0150967181387249
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"qgcomp",10,0.811111111111111,0.117705545052376,7.7856537763966e-06,0.00258685784312756,0.000272497882173881,0.0150967181387249
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"SGL-WQS",10,0.588888888888889,0.196331233788127,0.0930107764880483,0.0612874999491551,0.11626347061006,0.0817166665988734
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"gWQS",10,0.622222222222222,0.167282811713129,0.0231007707628329,0.0361020361430222,0.0323410790679661,0.0499874346595692
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"groupWQS",10,0.677777777777778,0.133024333304207,0.0011095737254936,0.00503223937957498,0.00388350803922761,0.0150967181387249
