"Scenario","p","n","n_groups","truth_profile","within_rho","cross_rho","Method","Mean","SD","Median","N"
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"SGL-WQS",0.688888888888889,0.187394231713682,0.666666666666667,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"gWQS",0.733333333333333,0.158871189552053,0.777777777777778,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"groupWQS",0.677777777777778,0.133024333304207,0.777777777777778,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"qgcomp",0.811111111111111,0.148610389983251,0.833333333333333,10
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"SGL-WQS",0.733333333333333,0.168508343201146,0.666666666666667,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"gWQS",0.777777777777778,0.157134840263677,0.888888888888889,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"groupWQS",0.688888888888889,0.121716123890037,0.777777777777778,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"qgcomp",0.822222222222222,0.185924450340906,0.777777777777778,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"SGL-WQS",0.533333333333333,0.213726489574126,0.555555555555556,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"gWQS",0.622222222222222,0.168508343201146,0.666666666666667,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"groupWQS",0.622222222222222,0.243432247780074,0.777777777777778,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"qgcomp",0.733333333333333,0.126686158344349,0.777777777777778,5
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"SGL-WQS",0.677777777777778,0.192093370072444,0.666666666666667,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"gWQS",0.677777777777778,0.152257813267366,0.611111111111111,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"groupWQS",0.677777777777778,0.133024333304207,0.777777777777778,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"qgcomp",0.766666666666667,0.133024333304207,0.777777777777778,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"SGL-WQS",0.7,0.174113470719158,0.666666666666667,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"gWQS",0.7,0.166048235344147,0.666666666666667,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"groupWQS",0.7,0.128833534303156,0.777777777777778,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"qgcomp",0.811111111111111,0.117705545052376,0.777777777777778,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"SGL-WQS",0.588888888888889,0.196331233788127,0.666666666666667,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"gWQS",0.622222222222222,0.167282811713129,0.611111111111111,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"groupWQS",0.677777777777778,0.133024333304207,0.777777777777778,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"qgcomp",0.688888888888889,0.1553790886178,0.722222222222222,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"SGL-WQS",0.6,0.119440855530349,0.555555555555556,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"gWQS",0.577777777777778,0.187394231713682,0.611111111111111,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS",0.677777777777778,0.133024333304207,0.777777777777778,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"qgcomp",0.666666666666667,0.0907218423253029,0.666666666666667,10
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"SGL-WQS",0.577777777777778,0.121716123890037,0.666666666666667,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"gWQS",0.577777777777778,0.182574185835055,0.444444444444444,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"groupWQS",0.777777777777778,0,0.777777777777778,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"qgcomp",0.733333333333333,0.126686158344349,0.777777777777778,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"SGL-WQS",0.511111111111111,0.0608580619450185,0.555555555555556,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"gWQS",0.488888888888889,0.201843356939833,0.444444444444444,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"groupWQS",0.688888888888889,0.121716123890037,0.777777777777778,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"qgcomp",0.622222222222222,0.126686158344349,0.666666666666667,5
