"Scenario","p","n","n_groups","truth_profile","within_rho","cross_rho","Method","Mean","SD","Median","N"
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"SGL-WQS",0.0998920391205006,0.0146805298186003,0.0937613379466124,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"gWQS",0.104800881849863,0.00482850998827416,0.105677909484021,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"groupWQS",0.100666776819681,0.0286603182612564,0.110419646339054,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"qgcomp",0.120425485347511,0.0242648216914564,0.114385474192827,10
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"SGL-WQS",0.104416391957814,0.0171072812497668,0.111779406654089,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"gWQS",0.111575852866578,0.00692745952150977,0.109682492269721,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"groupWQS",0.108941422545432,0.0303207502918336,0.114143658712833,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"qgcomp",0.149102015490632,0.0276011052893022,0.150313703512329,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"SGL-WQS",0.0967899190399749,0.0130683909780989,0.0909026745056614,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"gWQS",0.0979187292235006,0.0100313137249073,0.102202637498465,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"groupWQS",0.0953931301573048,0.0232963155949996,0.0975213483484656,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"qgcomp",0.109296890409286,0.0242755450359461,0.102224853927839,5
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"SGL-WQS",0.0953541963453217,0.0175756449935782,0.0946470226943115,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"gWQS",0.100140333846233,0.00856212681923042,0.0993947964465576,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"groupWQS",0.100042884049099,0.0288129706604292,0.0951654094966569,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"qgcomp",0.112247777271105,0.0326812767036318,0.103946552937798,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"SGL-WQS",0.0981887549265962,0.0177279847956709,0.0978152096756501,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"gWQS",0.106113496453363,0.0116105514320271,0.108266445635334,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"groupWQS",0.113643489843971,0.0297839759748067,0.109925754682564,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"qgcomp",0.130553908744256,0.0336342494272253,0.125559296787745,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"SGL-WQS",0.0935261427463172,0.0175967665145133,0.0976981355950475,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"gWQS",0.0968563175139505,0.007038959424897,0.0954292564732866,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"groupWQS",0.0926957426508265,0.0304397783939513,0.0852021448280118,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"qgcomp",0.102240971768717,0.0307446498850051,0.0950230547321376,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"SGL-WQS",0.0909200545230673,0.0194315027759899,0.0908143840895984,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"gWQS",0.0998921815400629,0.0163848294947777,0.10030575132465,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS",0.096180356236761,0.0412387219663796,0.0757746442419117,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"qgcomp",0.102907809744961,0.0320442645078278,0.100845079503917,10
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"SGL-WQS",0.093064200381811,0.025415180352016,0.094406606018704,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"gWQS",0.103426743820382,0.0206857884500513,0.112302431279025,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"groupWQS",0.0935859276931875,0.0464065467684417,0.0690308294531707,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"qgcomp",0.118747561661253,0.0392088357757321,0.135674113881445,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"SGL-WQS",0.0932610051459147,0.0241448078746243,0.0957867255264383,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"gWQS",0.0989437425430297,0.0206807903583957,0.0930543675677648,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"groupWQS",0.0950462535522999,0.0431059115102637,0.0806853702011395,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"qgcomp",0.109843666079869,0.040787062735809,0.131391278337803,5
