"Scenario","p","n","n_groups","truth_profile","within_rho","cross_rho","Method","Effect_Type","Mean","SD","Median","N"
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"SGL-WQS","Negative",-3.71883274584803,0.509367072352281,-3.67199360281349,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"SGL-WQS","Positive",3.95667906667845,0.710074623488787,4.06428622753302,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"gWQS","Negative",-0.121483166339267,0.880061861438402,-0.385517710098314,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"gWQS","Positive",0.247707065367347,0.751183350328409,0.396121290040771,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"groupWQS","GWQS1",0.248629988239291,0.258238971107779,0.263788629734602,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"groupWQS","GWQS10",0.0408603478737337,0.461697889854833,0.0107890338923482,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"groupWQS","GWQS2",0.0104491521833474,0.26241154423291,0.0517897383637916,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"groupWQS","GWQS3",-0.265787365139464,0.45911774109624,-0.283085995333159,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"groupWQS","GWQS4",-0.0351475259166079,0.265590621565277,-0.0518338801393533,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"groupWQS","GWQS5",-0.0407244053834526,0.387105537134694,-0.0141224053454849,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"groupWQS","GWQS6",0.0145100258203548,0.28158041248644,0.028343793692665,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"groupWQS","GWQS7",-0.0625893093793375,0.376926366375344,-0.00489101107972701,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"groupWQS","GWQS8",-0.12430461025141,0.365946022826502,-0.0825063064691584,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"groupWQS","GWQS9",0.0454503980058286,0.240359066590049,0.0377910160574906,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"qgcomp","Negative",-5.27830669405675,0.377276964206322,-5.36853968077165,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"qgcomp","Overall",0.0990174628210616,0.445226346471591,0.0623125223163694,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"qgcomp","Positive",5.37732415687781,0.535870025606476,5.33291616472761,10
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"SGL-WQS","Negative",-3.85170961300287,0.629417602005924,-3.61175140878637,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"SGL-WQS","Positive",4.1133466638071,0.9353588085351,4.32624981054755,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"gWQS","Negative",-0.716137898064193,0.561642225148764,-1.10398261796192,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"gWQS","Positive",1.0307504067768,0.370054195919689,1.07480158681875,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"groupWQS","GWQS1",0.464014738427366,0.221409542221826,0.363871777108345,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"groupWQS","GWQS10",-0.0166392817051876,0.455184905065811,-0.0467422122031007,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"groupWQS","GWQS2",-0.185289304809336,0.287939859205926,-0.0730478200512431,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"groupWQS","GWQS3",-0.410897016705773,0.680713235335013,-0.393353787882114,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"groupWQS","GWQS4",0.0541491037046764,0.366364324429963,0.0356284149631961,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"groupWQS","GWQS5",0.0031895748340475,0.457038488826121,0.119353336276967,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"groupWQS","GWQS6",-0.0514087197371414,0.24536287623483,-0.0422998199156883,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"groupWQS","GWQS7",-0.0271385321036125,0.536645114742801,0.117440460818095,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"groupWQS","GWQS8",-0.152457833683618,0.454711014822935,-0.0157702074695932,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"groupWQS","GWQS9",0.0146136253434731,0.1812227892737,0.0322722938068863,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"qgcomp","Negative",-5.26330418083949,0.327657725731246,-5.11344884628418,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"qgcomp","Overall",0.0133882054179183,0.206806041635195,-0.0380104474582092,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"qgcomp","Positive",5.27669238625741,0.348949167495178,5.36740805486788,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"SGL-WQS","Negative",-3.64927931955953,0.698152966211826,-3.34883358066208,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"SGL-WQS","Positive",3.89506610091542,0.969601268283045,3.9997739239633,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"gWQS","Negative",0.0515501073986478,0.675043110216359,-0.241552590988948,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"gWQS","Positive",0.288576292511852,0.477893077017408,0.14891345547178,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"groupWQS","GWQS1",0.218700608110142,0.246719854068215,0.10883779529115,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"groupWQS","GWQS10",-0.0214371957408063,0.452034299993167,-0.0444826012821961,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"groupWQS","GWQS2",-0.104246061044138,0.324962722918896,0.0292302126407198,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"groupWQS","GWQS3",-0.213803275432652,0.560270751046055,-0.232024986280468,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"groupWQS","GWQS4",0.0517306358794706,0.356928905510399,0.0395112670187578,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"groupWQS","GWQS5",0.038844912486665,0.460555632657369,0.144579219332874,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"groupWQS","GWQS6",-0.0493594918979561,0.222315547426059,-0.0425027465332185,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"groupWQS","GWQS7",-0.0525505813278054,0.505791289630365,0.157195707053191,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"groupWQS","GWQS8",-0.172613442330033,0.46151563811917,-0.0193585856010538,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"groupWQS","GWQS9",0.0533305857605332,0.183266372531508,0.0426393941967983,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"qgcomp","Negative",-5.02339283213487,0.380020056859676,-4.8905365362797,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"qgcomp","Overall",-0.0164379791140228,0.205141683380104,-0.0510775501001045,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"qgcomp","Positive",5.00695485302085,0.405278972410407,5.08849657515161,5
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"SGL-WQS","Negative",-4.24464636131074,0.621350259679463,-4.2833323189792,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"SGL-WQS","Positive",4.4297003487065,0.698788339241972,4.45534598836801,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"gWQS","Negative",0.262403034825065,1.12659971638671,0.0378978227024179,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"gWQS","Positive",-0.150093557736298,1.05403440350152,0.0319933905253682,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"groupWQS","GWQS1",0.254844848834327,0.241043213259545,0.23912002368491,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"groupWQS","GWQS10",-0.029088502682446,0.328048596809817,-0.0787977581735417,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"groupWQS","GWQS2",-0.014480302789024,0.256387011616417,0.0327748716129981,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"groupWQS","GWQS3",-0.272133754533125,0.349176563357005,-0.334464803952198,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"groupWQS","GWQS4",0.0129109659559259,0.221863485368198,0.00485606062251542,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"groupWQS","GWQS5",-0.0461681508633555,0.316800772566914,-0.0563070953150708,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"groupWQS","GWQS6",0.0184581684038121,0.238199987128572,0.0428761062313587,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"groupWQS","GWQS7",-0.0205586670929551,0.24420237778207,-0.00278600087364143,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"groupWQS","GWQS8",-0.111625353802896,0.27824697130901,-0.13165958799726,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"groupWQS","GWQS9",0.0467795937937443,0.174407626655691,0.068346293353793,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"qgcomp","Negative",-5.98003407294644,0.566300180515313,-5.95568574565557,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"qgcomp","Overall",0.0813417230228797,0.45030088753679,0.0457895909603176,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"qgcomp","Positive",6.06137579596932,0.474653974428192,6.13658610506746,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"SGL-WQS","Negative",-4.36914321171323,0.62489283197253,-4.39321497552539,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"SGL-WQS","Positive",4.56557996253577,0.701933945145425,4.55724724533149,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"gWQS","Negative",-0.367380020494201,1.24310120505641,-0.547829814505516,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"gWQS","Positive",0.459390284634215,1.16806076008823,0.644258413901229,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"groupWQS","GWQS1",0.405124973293294,0.246522229106421,0.389722649491487,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"groupWQS","GWQS10",-0.026691492880172,0.328416954826005,-0.0721026166309522,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"groupWQS","GWQS2",-0.0434971956618211,0.255622959856892,0.0106572158273388,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"groupWQS","GWQS3",-0.39094142505343,0.344861597078013,-0.443926103540629,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"groupWQS","GWQS4",0.0152062269995295,0.2218963749165,0.017889833584188,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"groupWQS","GWQS5",-0.052531167813414,0.316547873344628,-0.0606931624510952,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"groupWQS","GWQS6",0.0165108652170379,0.245140772668075,0.04475442969471,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"groupWQS","GWQS7",-0.0198414616352997,0.245211628844959,-0.0152257934478451,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"groupWQS","GWQS8",-0.108736176384194,0.280593893562774,-0.136983115766701,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"groupWQS","GWQS9",0.0427425803838418,0.179992504147783,0.0613297010010962,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"qgcomp","Negative",-6.10784197297022,0.564139526643422,-6.08754834515768,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"qgcomp","Overall",0.0981717204985901,0.451928734937217,0.057628741216397,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"qgcomp","Positive",6.20601369346881,0.456609181208065,6.26725795165825,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"SGL-WQS","Negative",-4.19833473213645,0.629656190722352,-4.24942215879369,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"SGL-WQS","Positive",4.37619839549985,0.698894168848329,4.37779447182557,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"gWQS","Negative",0.588088763632145,1.10489393888384,0.441479897229728,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"gWQS","Positive",-0.484766651876376,1.00450999844661,-0.337688779477634,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"groupWQS","GWQS1",0.158959105882063,0.242252122625265,0.155697879144496,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"groupWQS","GWQS10",-0.0297539146087578,0.328205631967167,-0.0828105500000144,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"groupWQS","GWQS2",-0.000627815181495223,0.261484990375269,0.0446013668562641,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"groupWQS","GWQS3",-0.188045697069446,0.334821392215475,-0.258313624574992,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"groupWQS","GWQS4",0.0114900682731613,0.222167258962411,-0.00293297967270754,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"groupWQS","GWQS5",-0.0446985256569038,0.319084905587522,-0.0571470260668588,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"groupWQS","GWQS6",0.0180562955746452,0.233422523134674,0.0370756109853034,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"groupWQS","GWQS7",-0.0218599956540971,0.244815418331105,0.00379285882430138,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"groupWQS","GWQS8",-0.11284556597384,0.276440848748858,-0.124902535803822,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"groupWQS","GWQS9",0.049878768256534,0.170634931705697,0.073645680616796,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"qgcomp","Negative",-5.91464402705135,0.570322397941455,-5.89704641004679,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"qgcomp","Overall",0.0701217247057397,0.449287322130876,0.0378968241229329,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"qgcomp","Positive",5.98476575175709,0.483642746430102,6.05487319132244,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"SGL-WQS","Negative",-6.37670273227583,1.02170155353014,-5.86758088998652,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"SGL-WQS","Positive",6.55502642719355,0.917548894345357,6.48379110170572,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"gWQS","Negative",0.137769497437349,2.05286094020819,0.662915351356013,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"gWQS","Positive",-0.0368211687862651,2.23202080475254,-0.772935863100988,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS","GWQS1",0.261688050648327,0.184828057530833,0.326928955869239,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS","GWQS10",-0.0252061005302526,0.248877332010476,-0.0617530666220967,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS","GWQS2",-0.00582184305756149,0.221475256672054,0.00443205504781296,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS","GWQS3",-0.253198756350402,0.266319515635742,-0.283086108357929,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS","GWQS4",-0.00342523627762245,0.172816115202351,0.0042719104020536,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS","GWQS5",-0.0475308880630344,0.288083021035979,-0.0883799700150499,10
