"Scenario","p","n","n_groups","truth_profile","within_rho","cross_rho","Method","Attempts","Failures","Failure_Rate"
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"SGL-WQS",10,0,0
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"gWQS",10,0,0
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"groupWQS",10,0,0
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"qgcomp",10,0,0
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"SGL-WQS",5,0,0
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"gWQS",5,0,0
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"groupWQS",5,0,0
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"qgcomp",5,0,0
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"SGL-WQS",5,0,0
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"gWQS",5,0,0
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"groupWQS",5,0,0
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"qgcomp",5,0,0
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"SGL-WQS",10,0,0
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"gWQS",10,0,0
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"groupWQS",10,0,0
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"qgcomp",10,0,0
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"SGL-WQS",10,0,0
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"gWQS",10,0,0
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"groupWQS",10,0,0
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"qgcomp",10,0,0
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"SGL-WQS",10,0,0
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"gWQS",10,0,0
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"groupWQS",10,0,0
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"qgcomp",10,0,0
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"SGL-WQS",10,0,0
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"gWQS",10,0,0
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS",10,0,0
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"qgcomp",10,0,0
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"SGL-WQS",5,0,0
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"gWQS",5,0,0
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"groupWQS",5,0,0
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"qgcomp",5,0,0
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"SGL-WQS",5,0,0
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"gWQS",5,0,0
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"groupWQS",5,0,0
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"qgcomp",5,0,0
