"Scenario","p","n","n_groups","truth_profile","within_rho","cross_rho","Method","Mean","SD","Median","N"
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"SGL-WQS",0.697545122404008,0.00789707581674075,0.696274226271115,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"gWQS",0.689576839393531,0.0185413485598403,0.692558277188335,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"groupWQS",0.699999999999999,2.8596475553387e-15,0.699999999999999,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"qgcomp",0.673800582303418,0.0413554812583594,0.676195148238919,10
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"SGL-WQS",0.693520506528109,0.00342794857969855,0.693746087577369,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"gWQS",0.674841198849042,0.0180704892181264,0.679413292449902,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"groupWQS",0.699999999999999,2.36493140672209e-15,0.7,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"qgcomp",0.630124245745681,0.0293641139050367,0.639500898205169,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"SGL-WQS",0.697461300741272,0.00792216557209894,0.694230764178055,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"gWQS",0.684839215150325,0.0216802678213953,0.69395985655188,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"groupWQS",0.700000000000003,3.77883778160226e-15,0.7,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"qgcomp",0.659840164252554,0.041596288883178,0.681750342668917,5
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"SGL-WQS",0.698361226635159,0.00940141464846436,0.696912113694758,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"gWQS",0.681766312218824,0.0160014073180297,0.686499121540128,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"groupWQS",0.699999999999994,9.52630588185252e-15,0.699999999999997,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"qgcomp",0.671975839206906,0.0457442102010679,0.678708026100995,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"SGL-WQS",0.697211009192066,0.0077886823357806,0.69588303273299,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"gWQS",0.676172907979906,0.0149332292180852,0.675455536769168,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"groupWQS",0.699999999999999,7.64219196238935e-15,0.699999999999999,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"qgcomp",0.657955288846339,0.0425544628527366,0.660052070437673,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"SGL-WQS",0.699596110123577,0.0100361939937672,0.696979039858466,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"gWQS",0.683872798013856,0.0152336383164916,0.686791037299294,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"groupWQS",0.699999999999999,6.4808460097651e-15,0.699999999999998,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"qgcomp",0.679741601846497,0.0482185274584155,0.686977708619242,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"SGL-WQS",0.693325140246666,0.00407873660416925,0.693497677065336,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"gWQS",0.679835117892325,0.0148082799962363,0.67940963845047,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS",0.699999999999996,3.01021169657595e-13,0.700000000000027,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"qgcomp",0.681343149937352,0.0488823814720473,0.671997823767012,10
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"SGL-WQS",0.691009675044436,0.00405487042690169,0.69023378179842,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"gWQS",0.655064796184395,0.0344535168450045,0.662452161376862,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"groupWQS",0.700000000000091,3.10208516750249e-13,0.699999999999992,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"qgcomp",0.659832063597469,0.057124613794275,0.661664822009013,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"SGL-WQS",0.692021047627747,0.0040252920329154,0.69253581202796,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"gWQS",0.672372276578121,0.0205001344436469,0.672850376486284,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"groupWQS",0.699999999999965,1.17817707465485e-13,0.699999999999979,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"qgcomp",0.668096646074542,0.0563036978716453,0.667111963846601,5
