"Scenario","p","n","n_groups","truth_profile","within_rho","cross_rho","Method","Median_Seconds","IQR_Seconds","Mean_Seconds","N"
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"SGL-WQS",841.626,80.4075000000004,852.1649,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"gWQS",1851.003,366.2545,1799.8113,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"groupWQS",964.7555,45.0112499999998,964.2887,10
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,"qgcomp",0.0594999999999999,0.00299999999999967,0.0595,10
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"SGL-WQS",725.424999999999,27.3659999999982,725.1038,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"gWQS",1322.259,80.1299999999974,1353.419,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"groupWQS",787.41,28.283999999996,784.2654,5
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,"qgcomp",0.0349999999998545,0.00300000000061118,0.0349999999998545,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"SGL-WQS",696.796999999999,31.0989999999983,688.6792,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"gWQS",1319.205,122.23,1336.1038,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"groupWQS",783.018,22.1980000000003,790.1108,5
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,"qgcomp",0.0339999999996508,0.00600000000122236,0.0360000000000582,5
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"SGL-WQS",963.14,147.21225,966.9711,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"gWQS",1654.3905,480.92975,1546.4868,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"groupWQS",783.3595,43.2802499999998,790.091,10
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,"qgcomp",0.0359999999998308,0.00774999999998727,0.036699999999928,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"SGL-WQS",1003.4845,129.218250000001,1009.034,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"gWQS",1508.937,553.335749999998,1444.9465,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"groupWQS",797.562999999998,42.4562500000002,798.989799999999,10
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,"qgcomp",0.0354999999999563,0.0042499999995016,0.036399999999594,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"SGL-WQS",992.739500000001,140.257500000001,1001.4628,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"gWQS",1483.22,410.284749999999,1424.935,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"groupWQS",810.1405,33.4872499999997,822.677,10
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"qgcomp",0.0370000000002619,0.00600000000076761,0.0383000000003449,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"SGL-WQS",1331.179,56.171499999999,1332.9673,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"gWQS",1899.2835,261.363,1940.1023,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS",540.178,11.7807499999994,544.1152,10
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"qgcomp",0.0349999999998545,0.00149999999962347,0.0350000000000364,10
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"SGL-WQS",1028.935,48.5210000000006,1038.6922,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"gWQS",1756.812,109.09,1771.6216,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"groupWQS",419.444,31.1479999999974,429.319,5
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"qgcomp",0.0349999999998545,0.00399999999717693,0.0360000000007858,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"SGL-WQS",1056.322,43.0790000000015,1066.116,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"gWQS",1480.7,282.870999999999,1483.4064,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"groupWQS",420.884000000002,29.4650000000038,425.2676,5
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"qgcomp",0.032999999999447,0.00400000000081491,0.0351999999991676,5
