"Scenario","p","n","n_groups","truth_profile","within_rho","cross_rho","Threshold","Seeds","Active_Rows","Null_Rows","TPR","TNR","FPR","Active_Mean_MaxSelFreq","Null_Mean_MaxSelFreq"
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,0.2,10,90,910,1,0,1,0.758888888888889,0.714461538461538
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,0.2,5,45,455,1,0,1,0.780444444444444,0.71556043956044
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,0.2,5,45,455,1,0,1,0.745111111111111,0.711824175824176
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,0.2,10,90,910,1,0,1,0.744777777777778,0.711604395604396
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,0.2,10,90,910,1,0,1,0.767333333333333,0.715846153846154
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,0.2,10,90,910,1,0,1,0.729777777777778,0.710736263736264
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,0.2,10,90,910,1,0,1,0.722111111111111,0.70254945054945
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,0.2,5,45,455,1,0,1,0.730222222222222,0.699450549450549
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,0.2,5,45,455,1,0,1,0.720666666666667,0.694879120879121
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,0.5,10,90,910,0.911111111111111,0.0791208791208791,0.920879120879121,0.758888888888889,0.714461538461538
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,0.5,5,45,455,0.933333333333333,0.0747252747252747,0.925274725274725,0.780444444444444,0.71556043956044
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,0.5,5,45,455,0.977777777777778,0.0879120879120879,0.912087912087912,0.745111111111111,0.711824175824176
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,0.5,10,90,910,0.944444444444444,0.0846153846153846,0.915384615384615,0.744777777777778,0.711604395604396
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,0.5,10,90,910,0.922222222222222,0.0714285714285714,0.928571428571429,0.767333333333333,0.715846153846154
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,0.5,10,90,910,0.944444444444444,0.0835164835164835,0.916483516483516,0.729777777777778,0.710736263736264
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,0.5,10,90,910,0.944444444444444,0.0714285714285714,0.928571428571429,0.722111111111111,0.70254945054945
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,0.5,5,45,455,0.933333333333333,0.0615384615384615,0.938461538461538,0.730222222222222,0.699450549450549
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,0.5,5,45,455,0.888888888888889,0.0813186813186813,0.918681318681319,0.720666666666667,0.694879120879121
"p100_r020_baseline3_main10",100,1000,10,"baseline3",0.2,0.05,0.8,10,90,910,0.488888888888889,0.665934065934066,0.334065934065934,0.758888888888889,0.714461538461538
"p100_r020_strong3_orth5",100,1000,10,"strong3",0.2,0.05,0.8,5,45,455,0.511111111111111,0.650549450549451,0.349450549450549,0.780444444444444,0.71556043956044
"p100_r020_weak3_orth5",100,1000,10,"weak3",0.2,0.05,0.8,5,45,455,0.444444444444444,0.654945054945055,0.345054945054945,0.745111111111111,0.711824175824176
"p100_r045_baseline3_main10",100,1000,10,"baseline3",0.45,0.05,0.8,10,90,910,0.411111111111111,0.661538461538462,0.338461538461538,0.744777777777778,0.711604395604396
"p100_r045_strong3_main10",100,1000,10,"strong3",0.45,0.05,0.8,10,90,910,0.511111111111111,0.657142857142857,0.342857142857143,0.767333333333333,0.715846153846154
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,0.8,10,90,910,0.355555555555556,0.669230769230769,0.330769230769231,0.729777777777778,0.710736263736264
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,0.8,10,90,910,0.366666666666667,0.684615384615385,0.315384615384615,0.722111111111111,0.70254945054945
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,0.8,5,45,455,0.333333333333333,0.694505494505494,0.305494505494506,0.730222222222222,0.699450549450549
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,0.8,5,45,455,0.377777777777778,0.705494505494506,0.294505494505495,0.720666666666667,0.694879120879121
