"Scenario","p","n","n_groups","truth_profile","Method","N","Mean","SD","T_P_gt_0_5","Wilcoxon_P_gt_0_5","T_P_BH","Wilcoxon_P_BH"
"p100_g05_baseline3_main10",100,1000,5,"baseline3","SGL-WQS",10,0.511111111111111,0.140545673785261,0.404100184852452,0.601740712508644,0.457980209499446,0.661932526288704
"p100_g05_baseline3_main10",100,1000,5,"baseline3","gWQS",10,0.577777777777778,0.0876456264162906,0.010251238265965,0.0178247442744447,0.0183443211075163,0.0449006218644687
"p100_g05_baseline3_main10",100,1000,5,"baseline3","groupWQS",10,0.777777777777778,0,NA,0.000952097521502195,NA,0.0196114839973434
"p100_g05_baseline3_main10",100,1000,5,"baseline3","qgcomp",10,0.666666666666667,0.117121394821051,0.000744474707705868,0.00496075226913437,0.00628758444446375,0.0201289575182999
"p100_g05_strong3_orth5",100,1000,5,"strong3","SGL-WQS",5,0.577777777777778,0.164804410824348,0.175407407407408,0.208182838954083,0.220883401920439,0.258433869046447
"p100_g05_strong3_orth5",100,1000,5,"strong3","gWQS",5,0.644444444444444,0.0496903994999953,0.00144500355855037,0.0238574401186756,0.00701858871295893,0.0452035707511748
"p100_g05_strong3_orth5",100,1000,5,"strong3","groupWQS",5,0.777777777777778,0,NA,0.0184442128535249,NA,0.0449006218644687
"p100_g05_strong3_orth5",100,1000,5,"strong3","qgcomp",5,0.777777777777778,0.136082763487954,0.00515238180781382,0.0283797231930068,0.0109488113416044,0.046439547043102
"p100_g05_weak3_orth5",100,1000,5,"weak3","SGL-WQS",5,0.533333333333333,0.121716123890037,0.286696126912678,0.291350991066974,0.348131011251109,0.349621189280369
"p100_g05_weak3_orth5",100,1000,5,"weak3","gWQS",5,0.466666666666667,0.121716123890037,0.713303873087322,0.864090778372252,0.734919141968756,0.864090778372252
"p100_g05_weak3_orth5",100,1000,5,"weak3","groupWQS",5,0.733333333333333,0.0993807989999906,0.00314860033974668,0.0238574401186756,0.00764660082509908,0.0452035707511748
"p100_g05_weak3_orth5",100,1000,5,"weak3","qgcomp",5,0.6,0.0993807989999906,0.0438225882516973,0.0644890214959821,0.0620820000232379,0.0859853619946428
"p100_g10_baseline3_main10",100,1000,10,"baseline3","SGL-WQS",10,0.677777777777778,0.192093370072444,0.00842480561448747,0.0197595736627382,0.0168496112289749,0.0449006218644687
