"Scenario","p","n","n_groups","truth_profile","Method","Mean","SD","Median","N"
"p100_g05_baseline3_main10",100,1000,5,"baseline3","SGL-WQS",0.511111111111111,0.140545673785261,0.555555555555556,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","gWQS",0.577777777777778,0.0876456264162906,0.555555555555556,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","groupWQS",0.777777777777778,0,0.777777777777778,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","qgcomp",0.666666666666667,0.117121394821051,0.666666666666667,10
"p100_g05_strong3_orth5",100,1000,5,"strong3","SGL-WQS",0.577777777777778,0.164804410824348,0.555555555555556,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","gWQS",0.644444444444444,0.0496903994999953,0.666666666666667,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","groupWQS",0.777777777777778,0,0.777777777777778,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","qgcomp",0.777777777777778,0.136082763487954,0.777777777777778,5
"p100_g05_weak3_orth5",100,1000,5,"weak3","SGL-WQS",0.533333333333333,0.121716123890037,0.555555555555556,5
"p100_g05_weak3_orth5",100,1000,5,"weak3","gWQS",0.466666666666667,0.121716123890037,0.444444444444444,5
"p100_g05_weak3_orth5",100,1000,5,"weak3","groupWQS",0.733333333333333,0.0993807989999906,0.777777777777778,5
"p100_g05_weak3_orth5",100,1000,5,"weak3","qgcomp",0.6,0.0993807989999906,0.666666666666667,5
"p100_g10_baseline3_main10",100,1000,10,"baseline3","SGL-WQS",0.677777777777778,0.192093370072444,0.666666666666667,10
"p100_g10_baseline3_main10",100,1000,10,"baseline3","gWQS",0.677777777777778,0.152257813267366,0.611111111111111,10
"p100_g10_baseline3_main10",100,1000,10,"baseline3","groupWQS",0.677777777777778,0.133024333304207,0.777777777777778,10
"p100_g10_baseline3_main10",100,1000,10,"baseline3","qgcomp",0.766666666666667,0.133024333304207,0.777777777777778,10
"p100_g10_strong3_main10",100,1000,10,"strong3","SGL-WQS",0.7,0.174113470719158,0.666666666666667,10
"p100_g10_strong3_main10",100,1000,10,"strong3","gWQS",0.7,0.166048235344147,0.666666666666667,10
"p100_g10_strong3_main10",100,1000,10,"strong3","groupWQS",0.7,0.128833534303156,0.777777777777778,10
"p100_g10_strong3_main10",100,1000,10,"strong3","qgcomp",0.811111111111111,0.117705545052376,0.777777777777778,10
"p100_g10_weak3_main10",100,1000,10,"weak3","SGL-WQS",0.588888888888889,0.196331233788127,0.666666666666667,10
"p100_g10_weak3_main10",100,1000,10,"weak3","gWQS",0.622222222222222,0.167282811713129,0.611111111111111,10
"p100_g10_weak3_main10",100,1000,10,"weak3","groupWQS",0.677777777777778,0.133024333304207,0.777777777777778,10
"p100_g10_weak3_main10",100,1000,10,"weak3","qgcomp",0.688888888888889,0.1553790886178,0.722222222222222,10
"p100_g20_baseline3_main10",100,1000,20,"baseline3","SGL-WQS",0.644444444444444,0.22098420578039,0.666666666666667,10
"p100_g20_baseline3_main10",100,1000,20,"baseline3","gWQS",0.6,0.175291252832581,0.611111111111111,10
"p100_g20_baseline3_main10",100,1000,20,"baseline3","groupWQS",0.7,0.181821299387164,0.777777777777778,10
"p100_g20_baseline3_main10",100,1000,20,"baseline3","qgcomp",0.677777777777778,0.199106371195787,0.777777777777778,10
"p100_g20_strong3_orth5",100,1000,20,"strong3","SGL-WQS",0.666666666666667,0.111111111111111,0.666666666666667,5
"p100_g20_strong3_orth5",100,1000,20,"strong3","gWQS",0.6,0.0993807989999906,0.666666666666667,5
"p100_g20_strong3_orth5",100,1000,20,"strong3","groupWQS",0.733333333333333,0.0993807989999906,0.777777777777778,5
"p100_g20_strong3_orth5",100,1000,20,"strong3","qgcomp",0.755555555555556,0.0929622251704528,0.777777777777778,5
"p100_g20_weak3_orth5",100,1000,20,"weak3","SGL-WQS",0.422222222222222,0.213726489574126,0.444444444444444,5
"p100_g20_weak3_orth5",100,1000,20,"weak3","gWQS",0.488888888888889,0.149071198499986,0.555555555555556,5
"p100_g20_weak3_orth5",100,1000,20,"weak3","groupWQS",0.555555555555556,0.235702260395516,0.555555555555556,5
"p100_g20_weak3_orth5",100,1000,20,"weak3","qgcomp",0.511111111111111,0.201843356939833,0.444444444444444,5
