"Scenario","p","n","n_groups","truth_profile","Method","Mean","SD","Median","N"
"p100_g05_baseline3_main10",100,1000,5,"baseline3","SGL-WQS",0.0955364680875911,0.0124776891136791,0.0938204179261774,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","gWQS",0.0849420234422852,0.0158116179743221,0.0855554512807133,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","groupWQS",0.114760199075281,0.039825414544194,0.123647765650647,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","qgcomp",0.0925118656484277,0.0326929721093083,0.0933147469159493,10
"p100_g05_strong3_orth5",100,1000,5,"strong3","SGL-WQS",0.101793003106724,0.0118222960396758,0.10049562478961,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","gWQS",0.0962558799696389,0.0184644411756608,0.0987299472972805,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","groupWQS",0.159356243660736,0.0254021336897634,0.157518342111452,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","qgcomp",0.125358574384553,0.02713487368855,0.122041139711928,5
"p100_g05_weak3_orth5",100,1000,5,"weak3","SGL-WQS",0.10080365010024,0.0112973836911281,0.0997632189301628,5
"p100_g05_weak3_orth5",100,1000,5,"weak3","gWQS",0.0921697886971269,0.0134648533479686,0.0933842351534554,5
"p100_g05_weak3_orth5",100,1000,5,"weak3","groupWQS",0.138528029586148,0.0137801529451901,0.131293443474388,5
"p100_g05_weak3_orth5",100,1000,5,"weak3","qgcomp",0.10506116381832,0.0282285503619141,0.0959730881847589,5
"p100_g10_baseline3_main10",100,1000,10,"baseline3","SGL-WQS",0.0953541963453217,0.0175756449935782,0.0946470226943115,10
"p100_g10_baseline3_main10",100,1000,10,"baseline3","gWQS",0.100140333846233,0.00856212681923042,0.0993947964465576,10
"p100_g10_baseline3_main10",100,1000,10,"baseline3","groupWQS",0.100042884049099,0.0288129706604292,0.0951654094966569,10
"p100_g10_baseline3_main10",100,1000,10,"baseline3","qgcomp",0.112247777271105,0.0326812767036318,0.103946552937798,10
"p100_g10_strong3_main10",100,1000,10,"strong3","SGL-WQS",0.0981887549265962,0.0177279847956709,0.0978152096756501,10
"p100_g10_strong3_main10",100,1000,10,"strong3","gWQS",0.106113496453363,0.0116105514320271,0.108266445635334,10
"p100_g10_strong3_main10",100,1000,10,"strong3","groupWQS",0.113643489843971,0.0297839759748067,0.109925754682564,10
"p100_g10_strong3_main10",100,1000,10,"strong3","qgcomp",0.130553908744256,0.0336342494272253,0.125559296787745,10
"p100_g10_weak3_main10",100,1000,10,"weak3","SGL-WQS",0.0935261427463172,0.0175967665145133,0.0976981355950475,10
"p100_g10_weak3_main10",100,1000,10,"weak3","gWQS",0.0968563175139505,0.007038959424897,0.0954292564732866,10
"p100_g10_weak3_main10",100,1000,10,"weak3","groupWQS",0.0926957426508265,0.0304397783939513,0.0852021448280118,10
"p100_g10_weak3_main10",100,1000,10,"weak3","qgcomp",0.102240971768717,0.0307446498850051,0.0950230547321376,10
"p100_g20_baseline3_main10",100,1000,20,"baseline3","SGL-WQS",0.08456639105761,0.0112306350114235,0.0830512364589393,10
"p100_g20_baseline3_main10",100,1000,20,"baseline3","gWQS",0.0923619698146793,0.0128314361666023,0.090718075292286,10
"p100_g20_baseline3_main10",100,1000,20,"baseline3","groupWQS",0.0918357967802911,0.0134723076796473,0.0894408202490073,10
"p100_g20_baseline3_main10",100,1000,20,"baseline3","qgcomp",0.0873464443980779,0.0229912417353568,0.0850009024423122,10
"p100_g20_strong3_orth5",100,1000,20,"strong3","SGL-WQS",0.0785998581281685,0.0105769620995106,0.0823615984784491,5
"p100_g20_strong3_orth5",100,1000,20,"strong3","gWQS",0.0969349926391472,0.0197114470100433,0.0925378370713249,5
"p100_g20_strong3_orth5",100,1000,20,"strong3","groupWQS",0.0953858640081103,0.0137205985438677,0.0923287724021811,5
"p100_g20_strong3_orth5",100,1000,20,"strong3","qgcomp",0.0980529990390879,0.0225214598410242,0.0890878080984143,5
"p100_g20_weak3_orth5",100,1000,20,"weak3","SGL-WQS",0.0778875650283398,0.00651099243439893,0.0792589163548636,5
"p100_g20_weak3_orth5",100,1000,20,"weak3","gWQS",0.0933618245246241,0.0133341044055147,0.0924884106854966,5
"p100_g20_weak3_orth5",100,1000,20,"weak3","groupWQS",0.0885046442588046,0.0115368539757125,0.0948719087262573,5
"p100_g20_weak3_orth5",100,1000,20,"weak3","qgcomp",0.0791761060225034,0.0186385992306105,0.0856454637093421,5
