"Scenario","p","n","n_groups","truth_profile","Method","Effect_Type","Mean","SD","Median","N"
"p100_g05_baseline3_main10",100,1000,5,"baseline3","SGL-WQS","Negative",-4.52802636274049,0.48329674554456,-4.70862345804563,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","SGL-WQS","Positive",4.64707055276821,0.416951344303156,4.70212507982306,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","gWQS","Negative",-0.22767399341119,2.1840336158726,0.0480445825058096,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","gWQS","Positive",0.269616807514074,2.17829256976062,-0.20205178353645,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","groupWQS","GWQS1",0.410085637261437,0.240121707775115,0.419700568379,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","groupWQS","GWQS2",-0.0348888155357202,0.2152753097423,-0.0538645314953872,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","groupWQS","GWQS3",-0.34302257541946,0.163450103917679,-0.357903779274798,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","groupWQS","GWQS4",0.156335702656219,0.182702719387354,0.184143404208895,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","groupWQS","GWQS5",-0.0275575354102351,0.305849588214803,-0.0422129245156306,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","qgcomp","Negative",-6.0317300568584,0.440108065477857,-6.01042611576138,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","qgcomp","Overall",0.178218799250963,0.284013510045648,0.201384621458713,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","qgcomp","Positive",6.20994885610936,0.429153337340275,6.17840689917507,10
"p100_g05_strong3_orth5",100,1000,5,"strong3","SGL-WQS","Negative",-4.49579510428766,0.60826780953881,-4.13466235014082,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","SGL-WQS","Positive",4.79664472678045,0.509843050022555,4.73526292896602,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","gWQS","Negative",-0.208914792512287,2.24404794402747,0.598539200413387,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","gWQS","Positive",0.437681944588655,2.49180581229053,-0.751016295077491,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","groupWQS","GWQS1",0.409353609596806,0.172137336828494,0.329653242299944,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","groupWQS","GWQS2",0.0402077635271104,0.262764388471651,0.0769633900619956,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","groupWQS","GWQS3",-0.402517492649172,0.150367809586362,-0.423916741313157,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","groupWQS","GWQS4",0.164873812781099,0.152336932395832,0.213742322717028,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","groupWQS","GWQS5",0.0254105622038021,0.296236360352188,-0.0963448296938637,5
