"Scenario","p","n","n_groups","truth_profile","Method","Attempts","Failures","Failure_Rate"
"p100_g05_baseline3_main10",100,1000,5,"baseline3","SGL-WQS",10,0,0
"p100_g05_baseline3_main10",100,1000,5,"baseline3","gWQS",10,0,0
"p100_g05_baseline3_main10",100,1000,5,"baseline3","groupWQS",10,0,0
"p100_g05_baseline3_main10",100,1000,5,"baseline3","qgcomp",10,0,0
"p100_g05_strong3_orth5",100,1000,5,"strong3","SGL-WQS",5,0,0
"p100_g05_strong3_orth5",100,1000,5,"strong3","gWQS",5,0,0
"p100_g05_strong3_orth5",100,1000,5,"strong3","groupWQS",5,0,0
"p100_g05_strong3_orth5",100,1000,5,"strong3","qgcomp",5,0,0
"p100_g05_weak3_orth5",100,1000,5,"weak3","SGL-WQS",5,0,0
"p100_g05_weak3_orth5",100,1000,5,"weak3","gWQS",5,0,0
"p100_g05_weak3_orth5",100,1000,5,"weak3","groupWQS",5,0,0
"p100_g05_weak3_orth5",100,1000,5,"weak3","qgcomp",5,0,0
"p100_g10_baseline3_main10",100,1000,10,"baseline3","SGL-WQS",10,0,0
"p100_g10_baseline3_main10",100,1000,10,"baseline3","gWQS",10,0,0
"p100_g10_baseline3_main10",100,1000,10,"baseline3","groupWQS",10,0,0
"p100_g10_baseline3_main10",100,1000,10,"baseline3","qgcomp",10,0,0
"p100_g10_strong3_main10",100,1000,10,"strong3","SGL-WQS",10,0,0
"p100_g10_strong3_main10",100,1000,10,"strong3","gWQS",10,0,0
"p100_g10_strong3_main10",100,1000,10,"strong3","groupWQS",10,0,0
"p100_g10_strong3_main10",100,1000,10,"strong3","qgcomp",10,0,0
"p100_g10_weak3_main10",100,1000,10,"weak3","SGL-WQS",10,0,0
"p100_g10_weak3_main10",100,1000,10,"weak3","gWQS",10,0,0
"p100_g10_weak3_main10",100,1000,10,"weak3","groupWQS",10,0,0
"p100_g10_weak3_main10",100,1000,10,"weak3","qgcomp",10,0,0
"p100_g20_baseline3_main10",100,1000,20,"baseline3","SGL-WQS",10,0,0
"p100_g20_baseline3_main10",100,1000,20,"baseline3","gWQS",10,0,0
"p100_g20_baseline3_main10",100,1000,20,"baseline3","groupWQS",10,0,0
"p100_g20_baseline3_main10",100,1000,20,"baseline3","qgcomp",10,0,0
"p100_g20_strong3_orth5",100,1000,20,"strong3","SGL-WQS",5,0,0
"p100_g20_strong3_orth5",100,1000,20,"strong3","gWQS",5,0,0
"p100_g20_strong3_orth5",100,1000,20,"strong3","groupWQS",5,0,0
"p100_g20_strong3_orth5",100,1000,20,"strong3","qgcomp",5,0,0
"p100_g20_weak3_orth5",100,1000,20,"weak3","SGL-WQS",5,0,0
"p100_g20_weak3_orth5",100,1000,20,"weak3","gWQS",5,0,0
"p100_g20_weak3_orth5",100,1000,20,"weak3","groupWQS",5,0,0
"p100_g20_weak3_orth5",100,1000,20,"weak3","qgcomp",5,0,0
