"Scenario","p","n","n_groups","truth_profile","Method","Mean","SD","Median","N"
"p100_g05_baseline3_main10",100,1000,5,"baseline3","SGL-WQS",0.396964057654772,0.0112757001330534,0.398305276002728,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","gWQS",0.402983456257504,0.0222134698434456,0.406746424633676,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","groupWQS",0.399999999999994,1.36807304474896e-14,0.399999999999996,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","qgcomp",0.390660578629871,0.0385794981949752,0.401482230981293,10
"p100_g05_strong3_orth5",100,1000,5,"strong3","SGL-WQS",0.393381201012949,0.0100988460774713,0.396116079128361,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","gWQS",0.414590240837028,0.0195520332120108,0.418022685375103,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","groupWQS",0.399999999999991,5.85741294440574e-15,0.399999999999988,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","qgcomp",0.383131697632685,0.0335409261146427,0.392322987501644,5
"p100_g05_weak3_orth5",100,1000,5,"weak3","SGL-WQS",0.392690324277908,0.0094949165648944,0.397218137963997,5
"p100_g05_weak3_orth5",100,1000,5,"weak3","gWQS",0.416340790340008,0.020795766993676,0.413427687537282,5
"p100_g05_weak3_orth5",100,1000,5,"weak3","groupWQS",0.400000000000002,8.62519863654237e-15,0.400000000000006,5
"p100_g05_weak3_orth5",100,1000,5,"weak3","qgcomp",0.390718084486291,0.0388283948630101,0.406698955618135,5
"p100_g10_baseline3_main10",100,1000,10,"baseline3","SGL-WQS",0.698361226635159,0.00940141464846436,0.696912113694758,10
"p100_g10_baseline3_main10",100,1000,10,"baseline3","gWQS",0.681766312218824,0.0160014073180297,0.686499121540128,10
"p100_g10_baseline3_main10",100,1000,10,"baseline3","groupWQS",0.699999999999994,9.52630588185252e-15,0.699999999999997,10
"p100_g10_baseline3_main10",100,1000,10,"baseline3","qgcomp",0.671975839206906,0.0457442102010679,0.678708026100995,10
"p100_g10_strong3_main10",100,1000,10,"strong3","SGL-WQS",0.697211009192066,0.0077886823357806,0.69588303273299,10
"p100_g10_strong3_main10",100,1000,10,"strong3","gWQS",0.676172907979906,0.0149332292180852,0.675455536769168,10
"p100_g10_strong3_main10",100,1000,10,"strong3","groupWQS",0.699999999999999,7.64219196238935e-15,0.699999999999999,10
"p100_g10_strong3_main10",100,1000,10,"strong3","qgcomp",0.657955288846339,0.0425544628527366,0.660052070437673,10
"p100_g10_weak3_main10",100,1000,10,"weak3","SGL-WQS",0.699596110123577,0.0100361939937672,0.696979039858466,10
"p100_g10_weak3_main10",100,1000,10,"weak3","gWQS",0.683872798013856,0.0152336383164916,0.686791037299294,10
"p100_g10_weak3_main10",100,1000,10,"weak3","groupWQS",0.699999999999999,6.4808460097651e-15,0.699999999999998,10
"p100_g10_weak3_main10",100,1000,10,"weak3","qgcomp",0.679741601846497,0.0482185274584155,0.686977708619242,10
"p100_g20_baseline3_main10",100,1000,20,"baseline3","SGL-WQS",0.858686742473793,0.0103402942090684,0.85745009957245,10
"p100_g20_baseline3_main10",100,1000,20,"baseline3","gWQS",0.854034913456301,0.0149393917049655,0.857831529512385,10
"p100_g20_baseline3_main10",100,1000,20,"baseline3","groupWQS",0.849999999999997,9.4180102771748e-15,0.849999999999998,10
"p100_g20_baseline3_main10",100,1000,20,"baseline3","qgcomp",0.861729201631899,0.0266535775704497,0.862383432349041,10
"p100_g20_strong3_orth5",100,1000,20,"strong3","SGL-WQS",0.862645993415998,0.011154081521791,0.85954018940502,5
"p100_g20_strong3_orth5",100,1000,20,"strong3","gWQS",0.849224693522729,0.0224996117491623,0.853273828426576,5
"p100_g20_strong3_orth5",100,1000,20,"strong3","groupWQS",0.850000000000005,1.32287860348073e-14,0.849999999999999,5
"p100_g20_strong3_orth5",100,1000,20,"strong3","qgcomp",0.854716621829008,0.0155549203113934,0.864037316945154,5
"p100_g20_weak3_orth5",100,1000,20,"weak3","SGL-WQS",0.861985006590922,0.00838256440037813,0.858474731079489,5
"p100_g20_weak3_orth5",100,1000,20,"weak3","gWQS",0.853489338591686,0.0189034887859678,0.856849029998113,5
"p100_g20_weak3_orth5",100,1000,20,"weak3","groupWQS",0.85,5.4031487550316e-15,0.85,5
"p100_g20_weak3_orth5",100,1000,20,"weak3","qgcomp",0.873423337576061,0.018865505753569,0.863426506058488,5
