"Scenario","p","n","n_groups","truth_profile","Method","Median_Seconds","IQR_Seconds","Mean_Seconds","N"
"p100_g05_baseline3_main10",100,1000,5,"baseline3","SGL-WQS",1031.4865,99.6677500000002,1053.019,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","gWQS",2215.9985,219.7035,2149.2582,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","groupWQS",407.5575,22.4797499999998,407.5766,10
"p100_g05_baseline3_main10",100,1000,5,"baseline3","qgcomp",0.0585,0.00100000000000022,0.0585,10
"p100_g05_strong3_orth5",100,1000,5,"strong3","SGL-WQS",826.887999999999,10.0420000000013,819.825199999999,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","gWQS",1716.926,190.552,1650.5266,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","groupWQS",307.189000000002,19.2020000000011,315.708400000001,5
"p100_g05_strong3_orth5",100,1000,5,"strong3","qgcomp",0.0339999999996508,0,0.0344000000004598,5
"p100_g05_weak3_orth5",100,1000,5,"weak3","SGL-WQS",796.987999999998,73.0879999999997,814.2896,5
"p100_g05_weak3_orth5",100,1000,5,"weak3","gWQS",1530.595,288.154999999999,1409.5028,5
"p100_g05_weak3_orth5",100,1000,5,"weak3","groupWQS",315.197999999997,30.9860000000008,304.978199999999,5
"p100_g05_weak3_orth5",100,1000,5,"weak3","qgcomp",0.0360000000000582,0.00599999999758438,0.0379999999997381,5
"p100_g10_baseline3_main10",100,1000,10,"baseline3","SGL-WQS",975.9215,140.126999999999,990.3306,10
"p100_g10_baseline3_main10",100,1000,10,"baseline3","gWQS",1729.6925,447.0045,1589.9052,10
"p100_g10_baseline3_main10",100,1000,10,"baseline3","groupWQS",801.166,43.5847499999993,811.8608,10
"p100_g10_baseline3_main10",100,1000,10,"baseline3","qgcomp",0.0360000000000582,0.00199999999995271,0.0360000000000127,10
"p100_g10_strong3_main10",100,1000,10,"strong3","SGL-WQS",981.677499999998,132.83175,985.0351,10
"p100_g10_strong3_main10",100,1000,10,"strong3","gWQS",1546.8135,529.183250000003,1498.7842,10
"p100_g10_strong3_main10",100,1000,10,"strong3","groupWQS",808.045,38.7237499999974,815.4563,10
"p100_g10_strong3_main10",100,1000,10,"strong3","qgcomp",0.0349999999998545,0.00150000000030559,0.0351000000002386,10
"p100_g10_weak3_main10",100,1000,10,"weak3","SGL-WQS",962.7285,126.484750000001,981.7265,10
"p100_g10_weak3_main10",100,1000,10,"weak3","gWQS",1488.0645,433.234,1435.0664,10
"p100_g10_weak3_main10",100,1000,10,"weak3","groupWQS",791.382,44.5690000000013,802.3326,10
"p100_g10_weak3_main10",100,1000,10,"weak3","qgcomp",0.0355000000008658,0.00574999999980719,0.0378000000004249,10
"p100_g20_baseline3_main10",100,1000,20,"baseline3","SGL-WQS",892.8885,76.7964999999999,912.8818,10
"p100_g20_baseline3_main10",100,1000,20,"baseline3","gWQS",1605.5455,197.404749999999,1590.1157,10
"p100_g20_baseline3_main10",100,1000,20,"baseline3","groupWQS",1846.724,15.0197499999999,1849.9336,10
"p100_g20_baseline3_main10",100,1000,20,"baseline3","qgcomp",0.0360000000000582,0.00350000000003092,0.0367000000001099,10
"p100_g20_strong3_orth5",100,1000,20,"strong3","SGL-WQS",673.240999999998,37.9549999999981,668.3662,5
"p100_g20_strong3_orth5",100,1000,20,"strong3","gWQS",1320.32,64.788999999997,1363.3888,5
"p100_g20_strong3_orth5",100,1000,20,"strong3","groupWQS",1315.616,11.2360000000044,1320.0468,5
"p100_g20_strong3_orth5",100,1000,20,"strong3","qgcomp",0.0339999999996508,0.00100000000020373,0.0347999999998137,5
"p100_g20_weak3_orth5",100,1000,20,"weak3","SGL-WQS",651.243999999999,45.2909999999974,658.517399999999,5
"p100_g20_weak3_orth5",100,1000,20,"weak3","gWQS",1411.911,42.4730000000018,1398.4506,5
"p100_g20_weak3_orth5",100,1000,20,"weak3","groupWQS",1311.322,7.34299999999712,1311.1914,5
"p100_g20_weak3_orth5",100,1000,20,"weak3","qgcomp",0.0339999999996508,0.00500000000101863,0.0355999999999767,5
