"Scenario","p","n","n_groups","truth_profile","Threshold","Seeds","Active_Rows","Null_Rows","TPR","TNR","FPR","Active_Mean_MaxSelFreq","Null_Mean_MaxSelFreq"
"p100_g05_baseline3_main10",100,1000,5,"baseline3",0.2,10,90,910,1,0,1,0.750444444444444,0.716637362637363
"p100_g05_strong3_orth5",100,1000,5,"strong3",0.2,5,45,455,1,0,1,0.773777777777778,0.712571428571429
"p100_g05_weak3_orth5",100,1000,5,"weak3",0.2,5,45,455,1,0,1,0.773555555555556,0.713142857142857
"p100_g10_baseline3_main10",100,1000,10,"baseline3",0.2,10,90,910,1,0,1,0.744777777777778,0.711604395604396
"p100_g10_strong3_main10",100,1000,10,"strong3",0.2,10,90,910,1,0,1,0.767333333333333,0.715846153846154
"p100_g10_weak3_main10",100,1000,10,"weak3",0.2,10,90,910,1,0,1,0.729777777777778,0.710736263736264
"p100_g20_baseline3_main10",100,1000,20,"baseline3",0.2,10,90,910,1,0,1,0.660777777777778,0.669813186813187
"p100_g20_strong3_orth5",100,1000,20,"strong3",0.2,5,45,455,1,0,1,0.656444444444444,0.662087912087912
"p100_g20_weak3_orth5",100,1000,20,"weak3",0.2,5,45,455,1,0,1,0.585777777777778,0.646241758241758
"p100_g05_baseline3_main10",100,1000,5,"baseline3",0.5,10,90,910,0.944444444444444,0.0736263736263736,0.926373626373626,0.750444444444444,0.716637362637363
"p100_g05_strong3_orth5",100,1000,5,"strong3",0.5,5,45,455,0.933333333333333,0.0967032967032967,0.903296703296703,0.773777777777778,0.712571428571429
"p100_g05_weak3_orth5",100,1000,5,"weak3",0.5,5,45,455,0.977777777777778,0.0989010989010989,0.901098901098901,0.773555555555556,0.713142857142857
"p100_g10_baseline3_main10",100,1000,10,"baseline3",0.5,10,90,910,0.944444444444444,0.0846153846153846,0.915384615384615,0.744777777777778,0.711604395604396
"p100_g10_strong3_main10",100,1000,10,"strong3",0.5,10,90,910,0.922222222222222,0.0714285714285714,0.928571428571429,0.767333333333333,0.715846153846154
"p100_g10_weak3_main10",100,1000,10,"weak3",0.5,10,90,910,0.944444444444444,0.0835164835164835,0.916483516483516,0.729777777777778,0.710736263736264
"p100_g20_baseline3_main10",100,1000,20,"baseline3",0.5,10,90,910,0.755555555555556,0.162637362637363,0.837362637362637,0.660777777777778,0.669813186813187
"p100_g20_strong3_orth5",100,1000,20,"strong3",0.5,5,45,455,0.8,0.162637362637363,0.837362637362637,0.656444444444444,0.662087912087912
"p100_g20_weak3_orth5",100,1000,20,"weak3",0.5,5,45,455,0.711111111111111,0.193406593406593,0.806593406593407,0.585777777777778,0.646241758241758
"p100_g05_baseline3_main10",100,1000,5,"baseline3",0.8,10,90,910,0.433333333333333,0.648351648351648,0.351648351648352,0.750444444444444,0.716637362637363
"p100_g05_strong3_orth5",100,1000,5,"strong3",0.8,5,45,455,0.488888888888889,0.659340659340659,0.340659340659341,0.773777777777778,0.712571428571429
"p100_g05_weak3_orth5",100,1000,5,"weak3",0.8,5,45,455,0.488888888888889,0.672527472527473,0.327472527472527,0.773555555555556,0.713142857142857
"p100_g10_baseline3_main10",100,1000,10,"baseline3",0.8,10,90,910,0.411111111111111,0.661538461538462,0.338461538461538,0.744777777777778,0.711604395604396
"p100_g10_strong3_main10",100,1000,10,"strong3",0.8,10,90,910,0.511111111111111,0.657142857142857,0.342857142857143,0.767333333333333,0.715846153846154
"p100_g10_weak3_main10",100,1000,10,"weak3",0.8,10,90,910,0.355555555555556,0.669230769230769,0.330769230769231,0.729777777777778,0.710736263736264
"p100_g20_baseline3_main10",100,1000,20,"baseline3",0.8,10,90,910,0.222222222222222,0.763736263736264,0.236263736263736,0.660777777777778,0.669813186813187
"p100_g20_strong3_orth5",100,1000,20,"strong3",0.8,5,45,455,0.2,0.771428571428571,0.228571428571429,0.656444444444444,0.662087912087912
"p100_g20_weak3_orth5",100,1000,20,"weak3",0.8,5,45,455,0.111111111111111,0.815384615384615,0.184615384615385,0.585777777777778,0.646241758241758
