"file","description"
"correlation_signal_sensitivity/active_direction_accuracy_one_sample_gt_0p5.csv","One-sample tests for active direction accuracy greater than 0.5"
"correlation_signal_sensitivity/active_direction_accuracy_paired_tests_sgl_vs_others.csv","Paired tests comparing SGL-WQS active direction accuracy with comparators"
"correlation_signal_sensitivity/active_direction_accuracy_summary.csv","Active direction accuracy summary"
"correlation_signal_sensitivity/active_weight_share_summary.csv","Normalized weight share assigned to active components"
"correlation_signal_sensitivity/effect_summary.csv","Mixture/index effect estimate summary"
"correlation_signal_sensitivity/error_detail.csv","Raw error messages; empty if no failures"
"correlation_signal_sensitivity/failure_summary.csv","Method failure counts and rates"
"correlation_signal_sensitivity/null_group_weight_share_summary.csv","Normalized weight share assigned to null groups"
"correlation_signal_sensitivity/runtime_summary.csv","Runtime summary in seconds"
"correlation_signal_sensitivity/sglwqs_selection_tnr_summary.csv","SGL-WQS TPR/TNR/FPR by selection-frequency threshold"
"group_signal_sensitivity/active_direction_accuracy_one_sample_gt_0p5.csv","One-sample tests for active direction accuracy greater than 0.5"
"group_signal_sensitivity/active_direction_accuracy_paired_tests_sgl_vs_others.csv","Paired tests comparing SGL-WQS active direction accuracy with comparators"
"group_signal_sensitivity/active_direction_accuracy_summary.csv","Active direction accuracy summary"
"group_signal_sensitivity/active_weight_share_summary.csv","Normalized weight share assigned to active components"
"group_signal_sensitivity/effect_summary.csv","Mixture/index effect estimate summary"
"group_signal_sensitivity/error_detail.csv","Raw error messages; empty if no failures"
"group_signal_sensitivity/failure_summary.csv","Method failure counts and rates"
"group_signal_sensitivity/null_group_weight_share_summary.csv","Normalized weight share assigned to null groups"
"group_signal_sensitivity/runtime_summary.csv","Runtime summary in seconds"
"group_signal_sensitivity/sglwqs_selection_tnr_summary.csv","SGL-WQS TPR/TNR/FPR by selection-frequency threshold"
"HIGH_DIMENSIONAL_SIMULATION_SUMMARY.md","Human-readable markdown summary"
"p_sensitivity/active_direction_accuracy_one_sample_gt_0p5.csv","One-sample tests for active direction accuracy greater than 0.5"
"p_sensitivity/active_direction_accuracy_paired_tests_sgl_vs_others.csv","Paired tests comparing SGL-WQS active direction accuracy with comparators"
"p_sensitivity/active_direction_accuracy_summary.csv","Active direction accuracy summary"
"p_sensitivity/active_weight_share_summary.csv","Normalized weight share assigned to active components"
"p_sensitivity/effect_summary.csv","Mixture/index effect estimate summary"
"p_sensitivity/error_detail.csv","Raw error messages; empty if no failures"
"p_sensitivity/failure_summary.csv","Method failure counts and rates"
"p_sensitivity/null_group_weight_share_summary.csv","Normalized weight share assigned to null groups"
"p_sensitivity/runtime_summary.csv","Runtime summary in seconds"
"p_sensitivity/sglwqs_selection_tnr_summary.csv","SGL-WQS TPR/TNR/FPR by selection-frequency threshold"
"summary_table_correlation_signal_accuracy_wide.csv","Compact summary table used in markdown report"
"summary_table_group_signal_accuracy_wide.csv","Compact summary table used in markdown report"
"summary_table_p_active_direction_accuracy_wide.csv","Compact summary table used in markdown report"
"summary_table_p_active_weight_share_wide.csv","Compact summary table used in markdown report"
"summary_table_p_runtime_median_seconds_wide.csv","Compact summary table used in markdown report"
"summary_table_p_sglwqs_tnr.csv","Compact summary table used in markdown report"
"summarize_highdim_overall_results.R","Reproducible script used to generate this summary bundle"
