"p","Method","N","Mean","SD","T_P_gt_0_5","Wilcoxon_P_gt_0_5","T_P_BH","Wilcoxon_P_BH"
50,"SGL-WQS",30,0.662962962962963,0.161103404052238,2.82813042345863e-06,3.6978957538408e-05,3.0852331892276e-06,4.03406809509906e-05
50,"gWQS",30,0.685185185185185,0.117020384543682,7.61270844786356e-10,1.57642841479224e-06,1.30503573391947e-09,2.7024487110724e-06
50,"groupWQS",30,0.714814814814815,0.119183161906457,4.41545001369168e-11,8.07257844581037e-07,2.64927000821501e-10,2.42177353374311e-06
50,"qgcomp",30,0.737037037037037,0.144380573362637,3.46893087203666e-10,7.87805072001897e-07,8.32543409288797e-10,2.42177353374311e-06
100,"SGL-WQS",30,0.692592592592593,0.150727858970548,5.37105853612639e-08,8.54742236829987e-06,8.05658780418958e-08,1.11519294534243e-05
100,"gWQS",30,0.722222222222222,0.129675233722379,1.36107697845801e-10,7.52088323513472e-07,4.10777672099828e-10,2.42177353374311e-06
100,"groupWQS",30,0.714814814814815,0.119183161906457,4.41545001369168e-11,8.07257844581037e-07,2.64927000821501e-10,2.42177353374311e-06
100,"qgcomp",30,0.737037037037037,0.138357860951082,1.36925890699943e-10,1.57642841479224e-06,4.10777672099828e-10,2.7024487110724e-06
200,"SGL-WQS",30,0.677777777777778,0.140999291986061,6.86884617100255e-08,9.29327454452029e-06,9.15846156133673e-08,1.11519294534243e-05
200,"gWQS",30,0.618518518518518,0.150727858970548,8.64779910655495e-05,0.000464562027490293,8.64779910655495e-05,0.000464562027490293
200,"groupWQS",30,0.659259259259259,0.142749660553689,5.8807882343717e-07,8.08634763485138e-06,7.05694588124604e-07,1.11519294534243e-05
200,"qgcomp",30,0.674074074074074,0.108918337300791,6.17276370390649e-10,1.44771406468027e-06,1.2345527407813e-09,2.7024487110724e-06
