"p","Method","Mean","SD","Median","N"
50,"SGL-WQS",0.662962962962963,0.161103404052238,0.666666666666667,30
50,"gWQS",0.685185185185185,0.117020384543682,0.666666666666667,30
50,"groupWQS",0.714814814814815,0.119183161906457,0.777777777777778,30
50,"qgcomp",0.737037037037037,0.144380573362637,0.777777777777778,30
100,"SGL-WQS",0.692592592592593,0.150727858970548,0.666666666666667,30
100,"gWQS",0.722222222222222,0.129675233722379,0.777777777777778,30
100,"groupWQS",0.714814814814815,0.119183161906457,0.777777777777778,30
100,"qgcomp",0.737037037037037,0.138357860951082,0.777777777777778,30
200,"SGL-WQS",0.677777777777778,0.140999291986061,0.666666666666667,30
200,"gWQS",0.618518518518518,0.150727858970548,0.611111111111111,30
200,"groupWQS",0.659259259259259,0.142749660553689,0.777777777777778,30
200,"qgcomp",0.674074074074074,0.108918337300791,0.666666666666667,30
