"p","Method","Mean","SD","Median","N"
50,"SGL-WQS",0.179699188632907,0.0194289467654472,0.179775605763213,30
50,"gWQS",0.203504837103069,0.0287927057547608,0.200397035715145,30
50,"groupWQS",0.193608238484506,0.0252808312070401,0.190021888901415,30
50,"qgcomp",0.208576795467567,0.0470896378206712,0.210753996414746,30
100,"SGL-WQS",0.0952846933406726,0.0144740014588437,0.0964014376375835,30
100,"gWQS",0.100732274428799,0.0166450987900959,0.100387601831336,30
100,"groupWQS",0.104978965136304,0.0246508357146115,0.101754414544491,30
100,"qgcomp",0.108475868006795,0.0246660984728391,0.105346131758428,30
200,"SGL-WQS",0.0494078666942444,0.00681550880512002,0.0492954721113306,30
200,"gWQS",0.0461774454162234,0.00681360893635335,0.0454456147849968,30
200,"groupWQS",0.057812465161615,0.0202923713016713,0.0563517583824952,30
200,"qgcomp",0.0505374592062547,0.00946678326016565,0.0518200514759674,30
