"p","Method","Mean","SD","Median","N"
50,"SGL-WQS",0.698055770257196,0.0264807523782946,0.696015884642235,30
50,"gWQS",0.690642827943313,0.0333499182855299,0.689496764815568,30
50,"groupWQS",0.7,1.35602137406455e-14,0.699999999999999,30
50,"qgcomp",0.68030928936355,0.0523036825316117,0.68759304637887,30
100,"SGL-WQS",0.697111602240115,0.00823783078717302,0.697081106086787,30
100,"gWQS",0.685402591721441,0.0203773049103692,0.687231146346835,30
100,"groupWQS",0.7,5.18577393044391e-15,0.7,30
100,"qgcomp",0.685454931776912,0.0378227378076329,0.687804370631891,30
200,"SGL-WQS",0.698654593011494,0.00578618131513871,0.698655836738892,30
200,"gWQS",0.696606376242825,0.0116741223821192,0.697443028475934,30
200,"groupWQS",0.7,5.87152762770102e-15,0.7,30
200,"qgcomp",0.696690656646884,0.0232610971037922,0.694148252144695,30
