"p","Method","Median_Seconds","IQR_Seconds","Mean_Seconds","N"
50,"SGL-WQS",935.2725,81.1117499999996,909.162533333333,30
50,"gWQS",1113.88,240.48,1103.99473333333,30
50,"groupWQS",820.859000000001,51.07325,818.131266666667,30
50,"qgcomp",0.0380000000004657,0.0659999999999417,0.0639000000000712,30
100,"SGL-WQS",2854.134,546.889749999998,2602.63763333333,30
100,"gWQS",4596.4775,2292.58825,4447.72843333333,30
100,"groupWQS",2249.407,260.714249999999,2090.48606666667,30
100,"qgcomp",0.0640000000000436,0.0357499999998763,0.0644333333332901,30
200,"SGL-WQS",11295.162,1451.448,10797.7557333333,30
200,"gWQS",24775.106,3156.5945,24083.3947333333,30
200,"groupWQS",7066.413,384.843249999998,7057.90646666667,30
200,"qgcomp",0.154500000000553,0.0492499999995744,0.177466666666381,30
