"method","seed","term","group","direction","estimate","std_error","p_value"
"qgcomp",NA,"psi1","Overall mixture","Net",0.0451860198095118,0.0362201982687391,0.212341750921585
"gWQS",71,"pwqs","Overall mixture","Positive",0.298250839069672,0.0849482313576083,0.000471148628592032
"gWQS",71,"nwqs","Overall mixture","Negative",-0.20952273832467,0.0795845166961294,0.00863209534055109
"groupWQS",71,"GWQS1","Aromatic hydrocarbons","Combined",-0.0694938606672161,0.0479497523549205,0.147634480906896
"groupWQS",71,"GWQS2","Dienes/alkenes/epoxides","Combined",-0.190989917440519,0.0540112905589654,0.000428840402319646
"groupWQS",71,"GWQS3","Nitrile/amide/cyanide-related","Combined",0.172877614409999,0.0555577734034717,0.00192477401519063
"groupWQS",71,"GWQS4","Reactive aldehydes","Combined",0.0644023060377406,0.0452811931151731,0.155326716107963
"SGL-WQS (unweighted, lambda=0)",71,"Aromatic_hydrocarbons_pos","Aromatic hydrocarbons","Positive",0.0637222423744336,0.0289664414565545,0.0279266820155842
"SGL-WQS (unweighted, lambda=0)",71,"Dienes_alkenes_epoxides_pos","Dienes/alkenes/epoxides","Positive",0.0505287198551155,0.0277881372642165,0.0691542341309376
"SGL-WQS (unweighted, lambda=0)",71,"Nitrile_amide_cyanide_related_pos","Nitrile/amide/cyanide-related","Positive",0.206160106822262,0.0386033384153154,1.02874290379591e-07
"SGL-WQS (unweighted, lambda=0)",71,"Reactive_aldehydes_pos","Reactive aldehydes","Positive",0.065239425892528,0.0261246118499283,0.0125935493530599
"SGL-WQS (unweighted, lambda=0)",71,"Aromatic_hydrocarbons_neg","Aromatic hydrocarbons","Negative",-0.100495925217755,0.0250573059598072,6.2702683168774e-05
"SGL-WQS (unweighted, lambda=0)",71,"Dienes_alkenes_epoxides_neg","Dienes/alkenes/epoxides","Negative",-0.152499830773159,0.032974506827608,3.98155317372046e-06
"SGL-WQS (unweighted, lambda=0)",71,"Nitrile_amide_cyanide_related_neg","Nitrile/amide/cyanide-related","Negative",-0.0430806801604577,0.0214346920559355,0.0445757933032246
"SGL-WQS (unweighted, lambda=0)",71,"Reactive_aldehydes_neg","Reactive aldehydes","Negative",-0.0445682640978355,0.0254779158175302,0.0803890923675073
"SGL-WQS (unweighted, lambda.min path)",71,"Aromatic_hydrocarbons_pos","Aromatic hydrocarbons","Positive",0.0608064266443657,0.0277524668387859,0.0285609043468285
"SGL-WQS (unweighted, lambda.min path)",71,"Dienes_alkenes_epoxides_pos","Dienes/alkenes/epoxides","Positive",0.0495613416567979,0.0277771401436735,0.0745296002855744
"SGL-WQS (unweighted, lambda.min path)",71,"Nitrile_amide_cyanide_related_pos","Nitrile/amide/cyanide-related","Positive",0.203158224019538,0.038103589468929,1.07880475078268e-07
"SGL-WQS (unweighted, lambda.min path)",71,"Reactive_aldehydes_pos","Reactive aldehydes","Positive",0.062756700426326,0.0258608213257915,0.0153213190658968
"SGL-WQS (unweighted, lambda.min path)",71,"Aromatic_hydrocarbons_neg","Aromatic hydrocarbons","Negative",-0.0985584685022719,0.0248802911102288,7.70636008608452e-05
"SGL-WQS (unweighted, lambda.min path)",71,"Dienes_alkenes_epoxides_neg","Dienes/alkenes/epoxides","Negative",-0.146354447125031,0.031931892006132,4.8490414430712e-06
"SGL-WQS (unweighted, lambda.min path)",71,"Nitrile_amide_cyanide_related_neg","Nitrile/amide/cyanide-related","Negative",-0.0425158801642482,0.0214293436142664,0.047387399318628
"SGL-WQS (unweighted, lambda.min path)",71,"Reactive_aldehydes_neg","Reactive aldehydes","Negative",-0.0444384631883588,0.025454154779593,0.0809899695834488
"SGL-WQS (survey, lambda.min path)",71,"Aromatic_hydrocarbons_pos","Aromatic hydrocarbons","Positive",0.07027680415953,0.0454508762119686,0.165972809030515
"SGL-WQS (survey, lambda.min path)",71,"Dienes_alkenes_epoxides_pos","Dienes/alkenes/epoxides","Positive",0.0705446816155162,0.0336439748183877,0.0742210796551845
"SGL-WQS (survey, lambda.min path)",71,"Nitrile_amide_cyanide_related_pos","Nitrile/amide/cyanide-related","Positive",0.170555536941386,0.0432072020043439,0.00555055596250636
"SGL-WQS (survey, lambda.min path)",71,"Reactive_aldehydes_pos","Reactive aldehydes","Positive",0.0740767562334228,0.0286530298611588,0.0361915884506879
"SGL-WQS (survey, lambda.min path)",71,"Aromatic_hydrocarbons_neg","Aromatic hydrocarbons","Negative",-0.114998796713884,0.0330929049199542,0.0103354193259645
"SGL-WQS (survey, lambda.min path)",71,"Dienes_alkenes_epoxides_neg","Dienes/alkenes/epoxides","Negative",-0.176061742776812,0.0327156034407897,0.00102861915828132
"SGL-WQS (survey, lambda.min path)",71,"Nitrile_amide_cyanide_related_neg","Nitrile/amide/cyanide-related","Negative",-0.0661478225950416,0.0273252752858501,0.0460410475770136
"gWQS",42,"pwqs","Overall mixture","Positive",0.195230388346222,0.0978080068351511,0.0462563851031303
"gWQS",42,"nwqs","Overall mixture","Negative",-0.223660523376748,0.0915738434215591,0.0147988756956445
"groupWQS",42,"GWQS1","Aromatic hydrocarbons","Combined",-0.0688978177139042,0.0552838484338233,0.21302640719545
"groupWQS",42,"GWQS2","Dienes/alkenes/epoxides","Combined",-0.152120384155271,0.0574359947593317,0.00823993384393285
"groupWQS",42,"GWQS3","Nitrile/amide/cyanide-related","Combined",0.217352633230325,0.0590532745207955,0.000247883635354535
"groupWQS",42,"GWQS4","Reactive aldehydes","Combined",0.0150267321016504,0.0482606302725951,0.755601339030881
"SGL-WQS (unweighted, lambda=0)",42,"Aromatic_hydrocarbons_pos","Aromatic hydrocarbons","Positive",0.0637222423744336,0.0289664414565545,0.0279266820155842
"SGL-WQS (unweighted, lambda=0)",42,"Dienes_alkenes_epoxides_pos","Dienes/alkenes/epoxides","Positive",0.0505287198551155,0.0277881372642165,0.0691542341309376
"SGL-WQS (unweighted, lambda=0)",42,"Nitrile_amide_cyanide_related_pos","Nitrile/amide/cyanide-related","Positive",0.206160106822262,0.0386033384153154,1.02874290379591e-07
