"method","fit_type","seed","survey_degf","refit_residual_df","refit_coef_rows","retained_effect_rows","nonzero_positive_coef","nonzero_negative_coef","nonzero_positive_weights","nonzero_negative_weights","positive_weight_sum","negative_weight_sum","lambda_path_source","lambda_path_length","lambda_path_min","lambda_path_max","selected_lambda","selected_lambda_at_path_boundary","backend_jerr","backend_warnings","retained_terms","note"
"SGL-WQS (unweighted, lambda=0)","unweighted",71,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",71,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,9.99999999999999e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",71,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",71,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.87467512045613e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",42,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",42,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,2.58086154041808e-06,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (survey, lambda=0)","survey",42,25,14,12,0,0,0,0,0,0,0,"sparsegl_auto",6,0.00192757277544961,0.00306924096326115,0,FALSE,0,"","","survey-weighted SGL selection returned all-zero exposure coefficients; no downstream survey-refit index retained"
"SGL-WQS (survey, lambda.min path)","survey",42,25,7,19,7,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,3.38385515342823e-08,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg",""
"SGL-WQS (unweighted, lambda=0)","unweighted",123,NA,2070,20,8,9,7,9,7,4,4,"sparsegl_auto",100,2.78831491502195e-07,0.00278831491502195,0,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
"SGL-WQS (unweighted, lambda.min path)","unweighted",123,NA,2070,20,8,9,7,9,7,4,4,"user_explicit",120,9.99999999999998e-09,0.1,1.50131072890817e-07,FALSE,0,"","Aromatic_hydrocarbons_pos; Dienes_alkenes_epoxides_pos; Nitrile_amide_cyanide_related_pos; Reactive_aldehydes_pos; Aromatic_hydrocarbons_neg; Dienes_alkenes_epoxides_neg; Nitrile_amide_cyanide_related_neg; Reactive_aldehydes_neg",""
