"method","seed","variable","group","direction","weight"
"qgcomp",NA,"URXCEM",NA,"Positive",0.220909664282941
"qgcomp",NA,"URXPMM",NA,"Positive",0.169342750223621
"qgcomp",NA,"URXDHB",NA,"Positive",0.13122762140941
"qgcomp",NA,"URXAMC",NA,"Positive",0.119390686641609
"qgcomp",NA,"URXCYM",NA,"Positive",0.0989005220581263
"qgcomp",NA,"URXATC",NA,"Positive",0.0953752492034313
"qgcomp",NA,"URXMAD",NA,"Positive",0.0888203974086948
"qgcomp",NA,"URXBMA",NA,"Positive",0.0659301935624883
"qgcomp",NA,"URX34M",NA,"Positive",0.0101029152096786
"qgcomp",NA,"URXPHG",NA,"Negative",0.284392402960222
"qgcomp",NA,"URXHP2",NA,"Negative",0.196553844184818
"qgcomp",NA,"URXMB3",NA,"Negative",0.184397869679081
"qgcomp",NA,"URXHPM",NA,"Negative",0.130528944364285
"qgcomp",NA,"URXAAM",NA,"Negative",0.126438288223239
"qgcomp",NA,"URXIPM3",NA,"Negative",0.0671364979744686
"qgcomp",NA,"URX2MH",NA,"Negative",0.0105521526138876
"gWQS",71,"URXCEM",NA,"Positive",0.249226958671621
"gWQS",71,"URXPMM",NA,"Positive",0.176858892508223
"gWQS",71,"URXDHB",NA,"Positive",0.140751330787959
"gWQS",71,"URXCYM",NA,"Positive",0.0946851821925918
"gWQS",71,"URXBMA",NA,"Positive",0.0931420015215254
"gWQS",71,"URXATC",NA,"Positive",0.0656087309680507
"gWQS",71,"URXMAD",NA,"Positive",0.0624331968580383
"gWQS",71,"URXAMC",NA,"Positive",0.0427629346446382
"gWQS",71,"URX2MH",NA,"Positive",0.0309393944685349
"gWQS",71,"URXHPM",NA,"Positive",0.0140719223991809
"gWQS",71,"URX34M",NA,"Positive",0.0086678400995336
"gWQS",71,"URXIPM3",NA,"Positive",0.00690981616264889
"gWQS",71,"URXMB3",NA,"Positive",0.00388033880638746
"gWQS",71,"URXAAM",NA,"Positive",0.0037658762145367
"gWQS",71,"URXPHG",NA,"Positive",0.00333897778963621
"gWQS",71,"URXHP2",NA,"Positive",0.00295660590689301
"gWQS",71,"URXCEM",NA,"Negative",0.00455924696725981
"gWQS",71,"URXPMM",NA,"Negative",0.00328557765991279
"gWQS",71,"URXDHB",NA,"Negative",0.0055371784493071
"gWQS",71,"URXCYM",NA,"Negative",0.00462045632185074
"gWQS",71,"URXBMA",NA,"Negative",0.00551021361426096
"gWQS",71,"URXATC",NA,"Negative",0.00696437240128053
"gWQS",71,"URXMAD",NA,"Negative",0.0110121859361953
"gWQS",71,"URXAMC",NA,"Negative",0.01813673839261
"gWQS",71,"URX2MH",NA,"Negative",0.0283642001012635
"gWQS",71,"URXHPM",NA,"Negative",0.0675615186840013
"gWQS",71,"URX34M",NA,"Negative",0.0850168822846589
"gWQS",71,"URXIPM3",NA,"Negative",0.0782600545937128
"gWQS",71,"URXMB3",NA,"Negative",0.170874898068029
"gWQS",71,"URXAAM",NA,"Negative",0.156205544318795
"gWQS",71,"URXPHG",NA,"Negative",0.239421127028964
"gWQS",71,"URXHP2",NA,"Negative",0.114669805177898
"groupWQS",71,"URX2MH","Aromatic hydrocarbons","Combined",0.104166472771056
"groupWQS",71,"URX34M","Aromatic hydrocarbons","Combined",0.103696392411243
"groupWQS",71,"URXBMA","Aromatic hydrocarbons","Combined",0.158813209445869
"groupWQS",71,"URXMAD","Aromatic hydrocarbons","Combined",0.0667468957989805
"groupWQS",71,"URXPHG","Aromatic hydrocarbons","Combined",0.566577029572852
"groupWQS",71,"URXDHB","Dienes/alkenes/epoxides","Combined",0.0475645058203987
"groupWQS",71,"URXMB3","Dienes/alkenes/epoxides","Combined",0.310554303517578
"groupWQS",71,"URXIPM3","Dienes/alkenes/epoxides","Combined",0.235482201839495
"groupWQS",71,"URXHP2","Dienes/alkenes/epoxides","Combined",0.406398988822557
"groupWQS",71,"URXAAM","Nitrile/amide/cyanide-related","Combined",0.0143811030939098
"groupWQS",71,"URXAMC","Nitrile/amide/cyanide-related","Combined",0.287718046853564
"groupWQS",71,"URXCEM","Nitrile/amide/cyanide-related","Combined",0.295688964640416
"groupWQS",71,"URXCYM","Nitrile/amide/cyanide-related","Combined",0.106274783391738
"groupWQS",71,"URXATC","Nitrile/amide/cyanide-related","Combined",0.295937102020391
"groupWQS",71,"URXHPM","Reactive aldehydes","Combined",0.152607986992662
"groupWQS",71,"URXPMM","Reactive aldehydes","Combined",0.84739201300735
"SGL-WQS (unweighted, lambda=0)",71,"URX2MH","Aromatic hydrocarbons","Positive",0
"SGL-WQS (unweighted, lambda=0)",71,"URX34M","Aromatic hydrocarbons","Positive",0.0622608490944023
"SGL-WQS (unweighted, lambda=0)",71,"URXBMA","Aromatic hydrocarbons","Positive",0.39841536580077
"SGL-WQS (unweighted, lambda=0)",71,"URXMAD","Aromatic hydrocarbons","Positive",0.539323785104828
