"analyte","metabolite","common_proxy_parent_or_source","proposed_group","group_label_for_plots","notes"
"URX2MH","2-methylhippuric acid","o-xylene","aromatic_hydrocarbons","Aromatic hydrocarbons","BTEX-related urinary metabolite"
"URX34M","3- and 4-methylhippuric acid","m-/p-xylene","aromatic_hydrocarbons","Aromatic hydrocarbons","BTEX-related urinary metabolite"
"URXBMA","N-acetyl-S-(benzyl)-L-cysteine","toluene","aromatic_hydrocarbons","Aromatic hydrocarbons","benzyl mercapturic acid"
"URXMAD","Mandelic acid","styrene/ethylbenzene","aromatic_hydrocarbons","Aromatic hydrocarbons","aromatic solvent metabolite; not fully source-specific"
"URXPHG","Phenylglyoxylic acid","styrene/ethylbenzene","aromatic_hydrocarbons","Aromatic hydrocarbons","aromatic solvent metabolite; often paired with mandelic acid"
"URXDHB","N-acetyl-S-(3,4-dihydroxybutyl)-L-cysteine","1,3-butadiene","dienes_alkenes_epoxides","Dienes/alkenes/epoxides","butadiene-related mercapturic acid"
"URXMB3","N-acetyl-S-(4-hydroxy-2-butenyl)-L-cysteine","1,3-butadiene","dienes_alkenes_epoxides","Dienes/alkenes/epoxides","butadiene-related mercapturic acid"
"URXIPM3","N-acetyl-S-(4-hydroxy-2-methyl-2-buten-1-yl)-L-cysteine","isoprene","dienes_alkenes_epoxides","Dienes/alkenes/epoxides","isoprene-related mercapturic acid"
"URXHP2","N-acetyl-S-(2-hydroxypropyl)-L-cysteine","propylene oxide","dienes_alkenes_epoxides","Dienes/alkenes/epoxides","epoxide-related mercapturic acid"
"URXAAM","N-acetyl-S-(2-carbamoylethyl)-L-cysteine","acrylamide","nitrile_amide_cyanide_related","Nitrile/amide/cyanide-related","acrylamide mercapturic acid"
"URXAMC","N-acetyl-S-(N-methylcarbamoyl)-L-cysteine","N,N-dimethylformamide","nitrile_amide_cyanide_related","Nitrile/amide/cyanide-related","industrial solvent-related metabolite"
"URXCEM","N-acetyl-S-(2-carboxyethyl)-L-cysteine","acrylonitrile/acrolein-related","nitrile_amide_cyanide_related","Nitrile/amide/cyanide-related","not fully source-specific; keep interpretation broad"
"URXCYM","N-acetyl-S-(2-cyanoethyl)-L-cysteine","acrylonitrile","nitrile_amide_cyanide_related","Nitrile/amide/cyanide-related","cyanoethyl mercapturic acid"
"URXATC","2-aminothiazoline-4-carboxylic acid","cyanide-related exposure","nitrile_amide_cyanide_related","Nitrile/amide/cyanide-related","cyanide-related biomarker; can reflect smoke/diet/environmental sources"
"URXHPM","N-acetyl-S-(3-hydroxypropyl)-L-cysteine","acrolein","reactive_aldehydes","Reactive aldehydes","3-hydroxypropyl mercapturic acid"
"URXPMM","N-acetyl-S-(3-hydroxypropyl-1-methyl)-L-cysteine","crotonaldehyde","reactive_aldehydes","Reactive aldehydes","crotonaldehyde-related mercapturic acid"
