"table","analyte","comment_code","description","n_weighted_sample","n_nonmiss","missing_rate","lc_values","detect_n","detect_rate","below_lod_rate","unique_values"
"P_UVOC","URXDHB","URDDHBLC","N-acetyl-S-(3,4-dihidroxybutyl)-L-cysteine(ng/mL)",4727,4325,0.0850433678866088,"0",4325,1,0,1129
"P_UVOC","URXPMM","URDPMMLC","N-acetyl-S-(3-hydroxypropyl-1-methyl)-L-cysteine(ng/mL)",4727,4325,0.0850433678866088,"0",4325,1,0,1365
"P_UVOC","URXAAM","URDAAMLC","N-acetyl-S-(2-carbamoylethyl)-L-cysteine(ng/mL)",4727,4325,0.0850433678866088,"0/1",4322,0.999306358381503,0.00069364161849711,1408
"P_UVOC","URXPHG","URDPHGLC","Phenylglyoxylic acid(ng/mL)",4727,4325,0.0850433678866088,"0/1",4319,0.998612716763006,0.00138728323699422,1215
"P_UVOC","URXBMA","URDBMALC","N-acetyl-S-(benzyl)-L-cysteine(ng/mL)",4727,4325,0.0850433678866088,"0/1",4313,0.997225433526012,0.00277456647398844,1338
"P_UVOC","URXHPM","URDHPMLC","N-acetyl-S- (3-hydroxypropyl)-L-cysteine(ng/mL)",4727,4325,0.0850433678866088,"0/1",4312,0.996994219653179,0.00300578034682081,1478
"P_UVOC","URXAMC","URDAMCLC","N-acetyl-S-(N-methylcarbamoyl)-L-cysteine(ng/mL)",4727,4325,0.0850433678866088,"0/1",4297,0.993526011560694,0.00647398843930636,1477
"P_UVOC","URX34M","URD34MLC","3-methylhippuric acid & 4-methylhippuric acid(ng/mL)",4727,4325,0.0850433678866088,"0/1",4296,0.993294797687861,0.00670520231213873,1580
"P_UVOC","URXMAD","URDMADLC","Mandelic acid(ng/mL)",4727,4325,0.0850433678866088,"0/1",4278,0.989132947976879,0.0108670520231214,1288
"P_UVOC","URXCEM","URDCEMLC","N-acetyl-S-(2-carboxyethyl)-L-cysteine(ng/mL)",4727,4325,0.0850433678866088,"0/1",4268,0.986820809248555,0.0131791907514451,1366
"P_UVOC","URXMB3","URDMB3LC","N-acetyl-S- (4-hydroxy-2-butenyl)-L-cysteine (ng/mL)",4727,4325,0.0850433678866088,"0/1",4215,0.974566473988439,0.0254335260115607,1419
"P_UVOC","URXHP2","URDHP2LC","N-acetyl-S- (2-hydroxypropyl)-L-cysteine(ng/mL)",4727,4325,0.0850433678866088,"0/1",4097,0.94728323699422,0.0527167630057803,1307
"P_UVOC","URXATC","URDATCLC","2-aminothiazoline-4-carboxylic acid(ng/mL)",4727,4325,0.0850433678866088,"0/1",3904,0.902658959537572,0.0973410404624278,1322
"P_UVOC","URX2MH","URD2MHLC","2-methylhippuric acid (ng/mL)",4727,4325,0.0850433678866088,"0/1",3818,0.882774566473988,0.117225433526012,1326
"P_UVOC","URXIPM3","URDPM3LC","N-Acetyl-S-(4-hydroxy-2-methyl-2-buten-1-yl)-L-cysteine (ng/mL)",4727,4324,0.0852549185529934,"0/1",3566,0.824699352451434,0.175300647548566,1250
"P_UVOC","URXCYM","URDCYMLC","N-acetyl-S-(2-cyanoethyl)-L-cysteine(ng/mL)",4727,4325,0.0850433678866088,"0/1",3501,0.809479768786127,0.190520231213873,1442
"P_UVOC","URXBPM","URDBPMLC","N-acetyl-S-(n-propyl)-L-cysteine(ng/mL)",4727,4325,0.0850433678866088,"0/1",3197,0.739190751445087,0.260809248554913,1187
"P_UVOC","URXHEM","URDHEMLC","N-acetyl-S-(2-hydroxyethyl)-L-cysteine(ng/mL)",4727,4325,0.0850433678866088,"0/1",2016,0.466127167630058,0.533872832369942,704
"P_UVOC","URXGAM","URDGAMLC","N-acetyl-S-(2-carbamoyl-2-hydroxyethyl)-L-cysteine(ng/mL)",4727,4325,0.0850433678866088,"0/1",1792,0.414335260115607,0.585664739884393,471
"P_UVOC","URXTTC","URDTTCLC","2-Thioxothiazolidine-4-carboxylic acid",4727,4325,0.0850433678866088,"0/1",1523,0.352138728323699,0.647861271676301,679
"P_UVOC","URXCYHA","URDCYALC","N-Acetyl-S-(1-cyano-2-hydroxyethyl)-L-cysteine (CYHA) (ng/mL)",4727,4325,0.0850433678866088,"0/1",673,0.155606936416185,0.844393063583815,503
