"analyte","description","n_nonmiss","missing_rate","detect_rate_unweighted","detect_rate_weighted","below_lod_rate_weighted","unique_values"
"URXDHB","N-acetyl-S-(3,4-dihidroxybutyl)-L-cysteine(ng/mL)",4325,0.0850433678866088,1,1,0,1129
"URXPMM","N-acetyl-S-(3-hydroxypropyl-1-methyl)-L-cysteine(ng/mL)",4325,0.0850433678866088,1,1,0,1365
"URXAAM","N-acetyl-S-(2-carbamoylethyl)-L-cysteine(ng/mL)",4325,0.0850433678866088,0.999306358381503,0.999674782273099,0.000325217726901282,1408
"URXPHG","Phenylglyoxylic acid(ng/mL)",4325,0.0850433678866088,0.998612716763006,0.997263377956329,0.00273662204367141,1215
"URXBMA","N-acetyl-S-(benzyl)-L-cysteine(ng/mL)",4325,0.0850433678866088,0.997225433526012,0.997144550891119,0.00285544910888099,1338
"URXAMC","N-acetyl-S-(N-methylcarbamoyl)-L-cysteine(ng/mL)",4325,0.0850433678866088,0.993526011560694,0.995795317196978,0.0042046828030217,1477
"URXHPM","N-acetyl-S- (3-hydroxypropyl)-L-cysteine(ng/mL)",4325,0.0850433678866088,0.996994219653179,0.995340789683745,0.0046592103162545,1478
"URX34M","3-methylhippuric acid & 4-methylhippuric acid(ng/mL)",4325,0.0850433678866088,0.993294797687861,0.994562007892553,0.00543799210744675,1580
"URXMAD","Mandelic acid(ng/mL)",4325,0.0850433678866088,0.989132947976879,0.9910448684867,0.00895513151329971,1288
"URXCEM","N-acetyl-S-(2-carboxyethyl)-L-cysteine(ng/mL)",4325,0.0850433678866088,0.986820809248555,0.98398249578053,0.0160175042194694,1366
"URXMB3","N-acetyl-S- (4-hydroxy-2-butenyl)-L-cysteine (ng/mL)",4325,0.0850433678866088,0.974566473988439,0.977038870081305,0.0229611299186952,1419
"URXHP2","N-acetyl-S- (2-hydroxypropyl)-L-cysteine(ng/mL)",4325,0.0850433678866088,0.94728323699422,0.952514670927767,0.0474853290722325,1307
"URXATC","2-aminothiazoline-4-carboxylic acid(ng/mL)",4325,0.0850433678866088,0.902658959537572,0.884633683339024,0.115366316660977,1322
"URX2MH","2-methylhippuric acid (ng/mL)",4325,0.0850433678866088,0.882774566473988,0.881430783635445,0.118569216364554,1326
"URXCYM","N-acetyl-S-(2-cyanoethyl)-L-cysteine(ng/mL)",4325,0.0850433678866088,0.809479768786127,0.815491010756056,0.184508989243945,1442
"URXIPM3","N-Acetyl-S-(4-hydroxy-2-methyl-2-buten-1-yl)-L-cysteine (ng/mL)",4324,0.0852549185529934,0.824699352451434,0.814905904212244,0.185094095787758,1250
"URXBPM","N-acetyl-S-(n-propyl)-L-cysteine(ng/mL)",4325,0.0850433678866088,0.739190751445087,0.764034511066518,0.235965488933484,1187
"URXHEM","N-acetyl-S-(2-hydroxyethyl)-L-cysteine(ng/mL)",4325,0.0850433678866088,0.466127167630058,0.417427060701789,0.582572939298212,704
"URXGAM","N-acetyl-S-(2-carbamoyl-2-hydroxyethyl)-L-cysteine(ng/mL)",4325,0.0850433678866088,0.414335260115607,0.399627488616918,0.600372511383084,471
"URXTTC","2-Thioxothiazolidine-4-carboxylic acid",4325,0.0850433678866088,0.352138728323699,0.359980923041749,0.640019076958253,679
"URXCYHA","N-Acetyl-S-(1-cyano-2-hydroxyethyl)-L-cysteine (CYHA) (ng/mL)",4325,0.0850433678866088,0.155606936416185,0.168286177745298,0.831713822254703,503
