job_id,battery,scenario_id,family,n,p,method,data_seed,split_seed,method_seed,bootstrap_seed,split_replicate,signal_profile,effect_profile,group_structure,within_rho,cross_rho,binomial_target_prevalence,reuse_from_battery,run_this,paired_binary_scenario_id,paired_binary_job_id,paired_binary_fit_seed
C2_gaussian_paired_split_stability_C2_gaussian_paired_global_null_n5000_SGL-WQS_719002_1,C2_gaussian_paired_split_stability,C2_gaussian_paired_global_null_n5000,gaussian,5000,13,SGL-WQS,719002,1180001,1180001,1180001,1,global_null,global_null,legacy13,0.2,0,,,TRUE,split_global_binary_n5000_w0p2_b0,split_global_binary_n5000_w0p2_b0_split0001,1180001
C2_gaussian_paired_split_stability_C2_gaussian_paired_global_null_n5000_SGL-WQS_719002_2,C2_gaussian_paired_split_stability,C2_gaussian_paired_global_null_n5000,gaussian,5000,13,SGL-WQS,719002,1180002,1180002,1180002,2,global_null,global_null,legacy13,0.2,0,,,TRUE,split_global_binary_n5000_w0p2_b0,split_global_binary_n5000_w0p2_b0_split0002,1180002
C2_gaussian_paired_split_stability_C2_gaussian_paired_global_null_n5000_SGL-WQS_719002_3,C2_gaussian_paired_split_stability,C2_gaussian_paired_global_null_n5000,gaussian,5000,13,SGL-WQS,719002,1180003,1180003,1180003,3,global_null,global_null,legacy13,0.2,0,,,TRUE,split_global_binary_n5000_w0p2_b0,split_global_binary_n5000_w0p2_b0_split0003,1180003
C2_gaussian_paired_split_stability_C2_gaussian_paired_global_null_n5000_SGL-WQS_719002_4,C2_gaussian_paired_split_stability,C2_gaussian_paired_global_null_n5000,gaussian,5000,13,SGL-WQS,719002,1180004,1180004,1180004,4,global_null,global_null,legacy13,0.2,0,,,TRUE,split_global_binary_n5000_w0p2_b0,split_global_binary_n5000_w0p2_b0_split0004,1180004
C2_gaussian_paired_split_stability_C2_gaussian_paired_global_null_n5000_SGL-WQS_719002_5,C2_gaussian_paired_split_stability,C2_gaussian_paired_global_null_n5000,gaussian,5000,13,SGL-WQS,719002,1180005,1180005,1180005,5,global_null,global_null,legacy13,0.2,0,,,TRUE,split_global_binary_n5000_w0p2_b0,split_global_binary_n5000_w0p2_b0_split0005,1180005
C2_gaussian_paired_split_stability_C2_gaussian_paired_global_null_n5000_SGL-WQS_719002_6,C2_gaussian_paired_split_stability,C2_gaussian_paired_global_null_n5000,gaussian,5000,13,SGL-WQS,719002,1180006,1180006,1180006,6,global_null,global_null,legacy13,0.2,0,,,TRUE,split_global_binary_n5000_w0p2_b0,split_global_binary_n5000_w0p2_b0_split0006,1180006
C2_gaussian_paired_split_stability_C2_gaussian_paired_global_null_n5000_SGL-WQS_719002_7,C2_gaussian_paired_split_stability,C2_gaussian_paired_global_null_n5000,gaussian,5000,13,SGL-WQS,719002,1180007,1180007,1180007,7,global_null,global_null,legacy13,0.2,0,,,TRUE,split_global_binary_n5000_w0p2_b0,split_global_binary_n5000_w0p2_b0_split0007,1180007
C2_gaussian_paired_split_stability_C2_gaussian_paired_global_null_n5000_SGL-WQS_719002_8,C2_gaussian_paired_split_stability,C2_gaussian_paired_global_null_n5000,gaussian,5000,13,SGL-WQS,719002,1180008,1180008,1180008,8,global_null,global_null,legacy13,0.2,0,,,TRUE,split_global_binary_n5000_w0p2_b0,split_global_binary_n5000_w0p2_b0_split0008,1180008
C2_gaussian_paired_split_stability_C2_gaussian_paired_global_null_n5000_SGL-WQS_719002_9,C2_gaussian_paired_split_stability,C2_gaussian_paired_global_null_n5000,gaussian,5000,13,SGL-WQS,719002,1180009,1180009,1180009,9,global_null,global_null,legacy13,0.2,0,,,TRUE,split_global_binary_n5000_w0p2_b0,split_global_binary_n5000_w0p2_b0_split0009,1180009
C2_gaussian_paired_split_stability_C2_gaussian_paired_global_null_n5000_SGL-WQS_719002_10,C2_gaussian_paired_split_stability,C2_gaussian_paired_global_null_n5000,gaussian,5000,13,SGL-WQS,719002,1180010,1180010,1180010,10,global_null,global_null,legacy13,0.2,0,,,TRUE,split_global_binary_n5000_w0p2_b0,split_global_binary_n5000_w0p2_b0_split0010,1180010
