job_id,battery,scenario_id,family,n,p,method,data_seed,split_seed,method_seed,bootstrap_seed,split_replicate,signal_profile,effect_profile,group_structure,within_rho,cross_rho,binomial_target_prevalence,reuse_from_battery,run_this
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_SGL-WQS_42_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,SGL-WQS,42,100042,1000042,100042,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_gWQS_42_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,gWQS,42,100042,2000042,2000042,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_groupWQS_42_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,groupWQS,42,100042,3000042,3000042,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_qgcomp_42_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,qgcomp,42,100042,4000042,NA,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_SGL-WQS_71_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,SGL-WQS,71,100071,1000071,100071,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_gWQS_71_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,gWQS,71,100071,2000071,2000071,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_groupWQS_71_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,groupWQS,71,100071,3000071,3000071,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_qgcomp_71_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,qgcomp,71,100071,4000071,NA,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_SGL-WQS_123_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,SGL-WQS,123,100123,1000123,100123,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_gWQS_123_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,gWQS,123,100123,2000123,2000123,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_groupWQS_123_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,groupWQS,123,100123,3000123,3000123,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_qgcomp_123_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,qgcomp,123,100123,4000123,NA,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_SGL-WQS_256_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,SGL-WQS,256,100256,1000256,100256,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_gWQS_256_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,gWQS,256,100256,2000256,2000256,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_groupWQS_256_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,groupWQS,256,100256,3000256,3000256,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_qgcomp_256_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,qgcomp,256,100256,4000256,NA,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_SGL-WQS_314_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,SGL-WQS,314,100314,1000314,100314,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_gWQS_314_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,gWQS,314,100314,2000314,2000314,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_groupWQS_314_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,groupWQS,314,100314,3000314,3000314,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_qgcomp_314_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,qgcomp,314,100314,4000314,NA,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_SGL-WQS_500_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,SGL-WQS,500,100500,1000500,100500,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_gWQS_500_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,gWQS,500,100500,2000500,2000500,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_groupWQS_500_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,groupWQS,500,100500,3000500,3000500,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_qgcomp_500_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,qgcomp,500,100500,4000500,NA,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_SGL-WQS_617_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,SGL-WQS,617,100617,1000617,100617,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_gWQS_617_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,gWQS,617,100617,2000617,2000617,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_groupWQS_617_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,groupWQS,617,100617,3000617,3000617,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_qgcomp_617_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,qgcomp,617,100617,4000617,NA,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_SGL-WQS_789_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,SGL-WQS,789,100789,1000789,100789,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_gWQS_789_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,gWQS,789,100789,2000789,2000789,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_groupWQS_789_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,groupWQS,789,100789,3000789,3000789,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_qgcomp_789_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,qgcomp,789,100789,4000789,NA,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
