job_id,battery,scenario_id,family,n,p,method,data_seed,split_seed,method_seed,split_replicate,signal_profile,effect_profile,group_structure,within_rho,cross_rho,reuse_from_battery,run_this
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_SGL-WQS_42_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,SGL-WQS,42,100042,1000042,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_gWQS_42_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,gWQS,42,100042,2000042,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_groupWQS_42_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,groupWQS,42,100042,3000042,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_qgcomp_42_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,qgcomp,42,100042,4000042,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_SGL-WQS_71_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,SGL-WQS,71,100071,1000071,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_gWQS_71_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,gWQS,71,100071,2000071,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_groupWQS_71_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,groupWQS,71,100071,3000071,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_qgcomp_71_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,qgcomp,71,100071,4000071,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_SGL-WQS_123_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,SGL-WQS,123,100123,1000123,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_gWQS_123_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,gWQS,123,100123,2000123,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_groupWQS_123_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,groupWQS,123,100123,3000123,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
