job_id,battery,scenario_id,family,n,p,method,data_seed,split_seed,method_seed,split_replicate,signal_profile,effect_profile,group_structure,within_rho,cross_rho,reuse_from_battery,run_this
A1_gaussian_sample_size_A1_gaussian_n10000_baseline_SGL-WQS_42_NA,A1_gaussian_sample_size,A1_gaussian_n10000_baseline,gaussian,10000,13,SGL-WQS,42,100042,1000042,,baseline,baseline,legacy13,,,,TRUE
A1_gaussian_sample_size_A1_gaussian_n10000_baseline_gWQS_42_NA,A1_gaussian_sample_size,A1_gaussian_n10000_baseline,gaussian,10000,13,gWQS,42,100042,2000042,,baseline,baseline,legacy13,,,,TRUE
A1_gaussian_sample_size_A1_gaussian_n10000_baseline_groupWQS_42_NA,A1_gaussian_sample_size,A1_gaussian_n10000_baseline,gaussian,10000,13,groupWQS,42,100042,3000042,,baseline,baseline,legacy13,,,,TRUE
A1_gaussian_sample_size_A1_gaussian_n10000_baseline_qgcomp_42_NA,A1_gaussian_sample_size,A1_gaussian_n10000_baseline,gaussian,10000,13,qgcomp,42,100042,4000042,,baseline,baseline,legacy13,,,,TRUE
A1_gaussian_sample_size_A1_gaussian_n10000_baseline_SGL-WQS_71_NA,A1_gaussian_sample_size,A1_gaussian_n10000_baseline,gaussian,10000,13,SGL-WQS,71,100071,1000071,,baseline,baseline,legacy13,,,,TRUE
A1_gaussian_sample_size_A1_gaussian_n10000_baseline_gWQS_71_NA,A1_gaussian_sample_size,A1_gaussian_n10000_baseline,gaussian,10000,13,gWQS,71,100071,2000071,,baseline,baseline,legacy13,,,,TRUE
A1_gaussian_sample_size_A1_gaussian_n10000_baseline_groupWQS_71_NA,A1_gaussian_sample_size,A1_gaussian_n10000_baseline,gaussian,10000,13,groupWQS,71,100071,3000071,,baseline,baseline,legacy13,,,,TRUE
A1_gaussian_sample_size_A1_gaussian_n10000_baseline_qgcomp_71_NA,A1_gaussian_sample_size,A1_gaussian_n10000_baseline,gaussian,10000,13,qgcomp,71,100071,4000071,,baseline,baseline,legacy13,,,,TRUE
A1_gaussian_sample_size_A1_gaussian_n10000_baseline_SGL-WQS_123_NA,A1_gaussian_sample_size,A1_gaussian_n10000_baseline,gaussian,10000,13,SGL-WQS,123,100123,1000123,,baseline,baseline,legacy13,,,,TRUE
A1_gaussian_sample_size_A1_gaussian_n10000_baseline_gWQS_123_NA,A1_gaussian_sample_size,A1_gaussian_n10000_baseline,gaussian,10000,13,gWQS,123,100123,2000123,,baseline,baseline,legacy13,,,,TRUE
A1_gaussian_sample_size_A1_gaussian_n10000_baseline_groupWQS_123_NA,A1_gaussian_sample_size,A1_gaussian_n10000_baseline,gaussian,10000,13,groupWQS,123,100123,3000123,,baseline,baseline,legacy13,,,,TRUE
A1_gaussian_sample_size_A1_gaussian_n10000_baseline_qgcomp_123_NA,A1_gaussian_sample_size,A1_gaussian_n10000_baseline,gaussian,10000,13,qgcomp,123,100123,4000123,,baseline,baseline,legacy13,,,,TRUE
A1_gaussian_sample_size_A1_gaussian_n10000_baseline_SGL-WQS_256_NA,A1_gaussian_sample_size,A1_gaussian_n10000_baseline,gaussian,10000,13,SGL-WQS,256,100256,1000256,,baseline,baseline,legacy13,,,,TRUE
