job_id,battery,scenario_id,family,n,p,method,data_seed,split_seed,method_seed,split_replicate,signal_profile,effect_profile,group_structure,within_rho,cross_rho,reuse_from_battery,run_this
smoke_A1_gaussian_sample_size_smoke_A_gaussian_n100_SGL-WQS_71_NA,A1_gaussian_sample_size,smoke_A_gaussian_n100,gaussian,100,13,SGL-WQS,71,100071,1000071,,baseline,baseline,legacy13,,,,TRUE
smoke_A1_gaussian_sample_size_smoke_A_gaussian_n100_gWQS_71_NA,A1_gaussian_sample_size,smoke_A_gaussian_n100,gaussian,100,13,gWQS,71,100071,2000071,,baseline,baseline,legacy13,,,,TRUE
smoke_A1_gaussian_sample_size_smoke_A_gaussian_n100_groupWQS_71_NA,A1_gaussian_sample_size,smoke_A_gaussian_n100,gaussian,100,13,groupWQS,71,100071,3000071,,baseline,baseline,legacy13,,,,TRUE
smoke_A1_gaussian_sample_size_smoke_A_gaussian_n100_qgcomp_71_NA,A1_gaussian_sample_size,smoke_A_gaussian_n100,gaussian,100,13,qgcomp,71,100071,4000071,,baseline,baseline,legacy13,,,,TRUE
smoke_A1_gaussian_sample_size_smoke_A_binomial_n500_SGL-WQS_42_NA,A1_gaussian_sample_size,smoke_A_binomial_n500,binomial,500,13,SGL-WQS,42,100042,1000042,,baseline,baseline,legacy13,,,,TRUE
smoke_A1_gaussian_sample_size_smoke_A_binomial_n500_gWQS_42_NA,A1_gaussian_sample_size,smoke_A_binomial_n500,binomial,500,13,gWQS,42,100042,2000042,,baseline,baseline,legacy13,,,,TRUE
smoke_A1_gaussian_sample_size_smoke_A_binomial_n500_groupWQS_42_NA,A1_gaussian_sample_size,smoke_A_binomial_n500,binomial,500,13,groupWQS,42,100042,3000042,,baseline,baseline,legacy13,,,,TRUE
smoke_A1_gaussian_sample_size_smoke_A_binomial_n500_qgcomp_42_NA,A1_gaussian_sample_size,smoke_A_binomial_n500,binomial,500,13,qgcomp,42,100042,4000042,,baseline,baseline,legacy13,,,,TRUE
smoke_B1_gaussian_highdim_smoke_B_gaussian_p200_SGL-WQS_71_NA,B1_gaussian_highdim,smoke_B_gaussian_p200,gaussian,1000,200,SGL-WQS,71,100071,1000071,,baseline,baseline,equal10,0.45,0.05,,TRUE
smoke_B1_gaussian_highdim_smoke_B_gaussian_p200_gWQS_71_NA,B1_gaussian_highdim,smoke_B_gaussian_p200,gaussian,1000,200,gWQS,71,100071,2000071,,baseline,baseline,equal10,0.45,0.05,,TRUE
smoke_B1_gaussian_highdim_smoke_B_gaussian_p200_groupWQS_71_NA,B1_gaussian_highdim,smoke_B_gaussian_p200,gaussian,1000,200,groupWQS,71,100071,3000071,,baseline,baseline,equal10,0.45,0.05,,TRUE
smoke_B1_gaussian_highdim_smoke_B_gaussian_p200_qgcomp_71_NA,B1_gaussian_highdim,smoke_B_gaussian_p200,gaussian,1000,200,qgcomp,71,100071,4000071,,baseline,baseline,equal10,0.45,0.05,,TRUE
smoke_C_gaussian_split_stability_smoke_C_gaussian_split_global_n500_SGL-WQS_991001_1,C_gaussian_split_stability,smoke_C_gaussian_split_global_n500,gaussian,500,13,SGL-WQS,991001,1061002,1081002,1,global_null,global_null,legacy13,0.2,0,,TRUE
smoke_D_unbalanced_effect_factorial_smoke_D_binomial_balanced_heterogeneous_SGL-WQS_42_NA,D_unbalanced_effect_factorial,smoke_D_binomial_balanced_heterogeneous,binomial,500,100,SGL-WQS,42,100042,1000042,,heterogeneous,heterogeneous,balanced,0.45,0.05,,TRUE
smoke_D_unbalanced_effect_factorial_smoke_D_gaussian_balanced_heterogeneous_SGL-WQS_42_NA,D_unbalanced_effect_factorial,smoke_D_gaussian_balanced_heterogeneous,gaussian,500,100,SGL-WQS,42,100042,1000042,,heterogeneous,heterogeneous,balanced,0.45,0.05,,TRUE
smoke_D_unbalanced_effect_factorial_smoke_D_binomial_unbalanced_heterogeneous_SGL-WQS_42_NA,D_unbalanced_effect_factorial,smoke_D_binomial_unbalanced_heterogeneous,binomial,500,100,SGL-WQS,42,100042,1000042,,heterogeneous,heterogeneous,unbalanced,0.45,0.05,,TRUE
smoke_D_unbalanced_effect_factorial_smoke_D_gaussian_unbalanced_heterogeneous_SGL-WQS_42_NA,D_unbalanced_effect_factorial,smoke_D_gaussian_unbalanced_heterogeneous,gaussian,500,100,SGL-WQS,42,100042,1000042,,heterogeneous,heterogeneous,unbalanced,0.45,0.05,,TRUE
smoke_D_unbalanced_effect_factorial_smoke_D_binomial_balanced_heterogeneous_qgcomp_42_NA,D_unbalanced_effect_factorial,smoke_D_binomial_balanced_heterogeneous,binomial,500,100,qgcomp,42,100042,4000042,,heterogeneous,heterogeneous,balanced,0.45,0.05,,TRUE
smoke_D_unbalanced_effect_factorial_smoke_D_gaussian_balanced_heterogeneous_qgcomp_42_NA,D_unbalanced_effect_factorial,smoke_D_gaussian_balanced_heterogeneous,gaussian,500,100,qgcomp,42,100042,4000042,,heterogeneous,heterogeneous,balanced,0.45,0.05,,TRUE
smoke_D_unbalanced_effect_factorial_smoke_D_binomial_unbalanced_heterogeneous_qgcomp_42_NA,D_unbalanced_effect_factorial,smoke_D_binomial_unbalanced_heterogeneous,binomial,500,100,qgcomp,42,100042,4000042,,heterogeneous,heterogeneous,unbalanced,0.45,0.05,,TRUE
smoke_D_unbalanced_effect_factorial_smoke_D_gaussian_unbalanced_heterogeneous_qgcomp_42_NA,D_unbalanced_effect_factorial,smoke_D_gaussian_unbalanced_heterogeneous,gaussian,500,100,qgcomp,42,100042,4000042,,heterogeneous,heterogeneous,unbalanced,0.45,0.05,,TRUE
smoke_E_hard_setting_sample_size_smoke_E_binomial_unbalanced_weak_n500_qgcomp_71_NA,E_hard_setting_sample_size,smoke_E_binomial_unbalanced_weak_n500,binomial,500,100,qgcomp,71,100071,4000071,,weak_heterogeneous,weak_heterogeneous,unbalanced,0.45,0.05,,TRUE
smoke_E_hard_setting_sample_size_smoke_E_gaussian_unbalanced_weak_n500_SGL-WQS_71_NA,E_hard_setting_sample_size,smoke_E_gaussian_unbalanced_weak_n500,gaussian,500,100,SGL-WQS,71,100071,1000071,,weak_heterogeneous,weak_heterogeneous,unbalanced,0.45,0.05,,TRUE
smoke_E_hard_setting_sample_size_smoke_E_gaussian_unbalanced_weak_n500_qgcomp_71_NA,E_hard_setting_sample_size,smoke_E_gaussian_unbalanced_weak_n500,gaussian,500,100,qgcomp,71,100071,4000071,,weak_heterogeneous,weak_heterogeneous,unbalanced,0.45,0.05,,TRUE
